CBS	"60 Minutes" airer
CRINGE	Shrink in fear
BECOOL	Act nonchalant
SAUNAS	Steamy spots
CROC	Gator relative
CHUTE	Water park slide
RASHEST	Most reckless
OLDE	Shoppe sign word
CLAW	Lobster portion
MALAWI	Nyasaland, now
MESSUPS	Snafus
ADHERENTS	Followers
LIAR	Pants-on-fire guy
ATM	20's dispenser, for short
WEE	Teeny
IDS	Driver's lic. and others
REA	Stephen of "The Crying Game"
HALL	Quad building
EDITED	Readied for print
ICU	Post-O.R. stop
USDA	Meat marking
SHAMES	Brings disgrace to
NONETHEWISER	Knowing no more than before
ETA	Airport info: Abbr.
ICE	Convenience store bagful
GOATEE	Part of a Vandyke
CUR	Mangy mutt
SEW	Stitch up
SPAY	Neuter
ELKS	Part of B.P.O.E.
WEST	All-star game team, maybe
ELSA	Lanchester of film
SOMEPEOPLE	Words after a rude encounter, maybe
ONA	___ roll (winning)
MOIST	Like tasty cake
OER	Anthem contraction
ATNO	"___ extra cost!"
ARCWELDER	Metal joiner
SNEAKS	Devious sorts
AIMER	One pointing, as a gun
ACME	Very top
IRON	Mineral in spinach
MIST	Atomizer's release
EST	N.Y. winter setting
AIL	Feel awful
LEE	General in gray
TRYST	Secret meeting
CRISCO	Mazola competitor
OARLESS	Like a rowboat that's adrift
SEES	Gets a gander of
EDUCATE	Teach
MOSTWANTED	F.B.I.'s prime quarries
NAY	Dissenting vote
DUAL	Twofold
DAN	Vice president Quayle
UNEASE	Apprehension
ADAGES	Almanac sayings
LATENS	Nears midnight
ENT	Dr. who handles otitis cases: Abbr.
ERA	Neolithic ___
UGANDA	Where Idi Amin ruled
GATES	Billionaire Bill
ALLYOUCANEAT	Buffet deal
AIRY	Open-roofed
OGLE	Leer at
UNIX	Operating system on many Internet servers
UPSIDE	Positive aspect
USS	___ Constitution
PTA	Sch. group
SAT	Warmed the bench
GNAT	Swarming pest
AGE	Bio stat
STARES	Gawks
LITE	Low-cal
SEN	D.C. V.I.P.
SATYRS	Lecherous goat-men
EXES	Divorcés
ESS	Sink trap's shape
