CAMP	Political group
CBS	"The Jackie Gleason Show" shower
ARE	Live and breathe
MANDAMUS	Court order
PEDICAB	Calcutta conveyance
SWEAT	___ it out
SLIME	Lowlife
WACO	City by a lake of the same name
ERIN	Land of literature
ACED	Did perfectly
THROE	Paroxysm
BAAL	God of the Canaanites
BAZAARS	Quarters for shopping
ACACIA	Source of gum arabic
ARGENT	Silvery white
LESSEE	Renter
BRAE	Highlands hillside
LARCH	Tamarack tree
ACRE	Planting unit
SEND	Telegraph, say
ICIER	Less cordial
ZAGS	Takes another direction
DIAMONDOFACES	Baseball All-Star Game playing field?
ALSO	"Let's not forget ..."
FLOE	Baffin Bay hazard
ORACLE	Delphi figure
ONCE	Storybook starter
ROLL	Pitch's partner
ELAINE	She loved Lancelot
NOMAS	"Enough!" in El Salvador
SAM	Player of "As Time Goes By," in film
SKIDS	Path to poverty, with "the"
ANTES	Starting stakes
MACON	Georgia city
ORATE	Hold the floor
CLUBOFKNAVES	Scoundrels' society?
FDA	Org. that may request a recall
VHF	TV band
ELS	Subway relatives
DITCH	Get rid of
KAI	China's Chiang ___-shek
KNOWSHOW	Has the skill
AGRA	Pearl Mosque locale
ISNT	Fails to be
SPADEOFKINGS	Tool used in royal gardens?
SCARABS	Some iconic gems
PENT	Shut (up)
KANE	Xanadu resident
ICANSEE	New Testament miracle cry
APACE	Without delay
AGHAST	In shock
PAELLA	Spanish dish
ARAGON	Whence Catherine
SSN	Common ID
ACORN	Item in a cheek pouch
GARAND	Korean War rifle
DORAL	Home of the Blue Monster golf course
GNAWAT	Bother incessantly
GEESE	Symbols of silliness
HEARTOFQUEENS	Shea Stadium's locale?
FORA	Roman meeting places
QUIP	Leno line
USES	Swiss army knives have several
ALGA	Bit of seafloor flora
ROUSE	Stir
SHOE	It's about a foot
ONE	Lunchtime, perhaps
ESS	Suffix with seer
SLOB	Litter leaver
ARIES	Spring sign
EONS	An eternity, seemingly
TANS	Gets darker, in a way
LAPSE	Slip
EWES	Wool sources
