TRIEDACASE	Did some court work
TDS	What passes may lead to, quickly
RAP	Charge on a record
III	Crowd in old Rome?
ELKO	Nevada county or its seat
DYERS	Tannery workers
ADDICTION	Monkey, so to speak
COHERED	Stuck
AZALEA	"Royalty of the garden"
SEI	Twice 58-Down
ENRON	Minute Maid Park's former sponsor
VACA	Cow: Sp.
VIOLETIRIS	Dwarf plant of the eastern U.S.
ADAMSANDLER	Mr. Deeds player
CARET	Sign that something's missing
ASSNS	Clubs: Abbr.
DAILYDOZEN	Set of routine duties
IDAS	Argonaut who slew Castor
SPIKEDHAIR	Locks up?
OARS	Things usually held while facing backward
ORIEL	Architectural projection
OILMEN	Ones with well-defined careers?
ITALIA	Lago di Como locale
CAW	Farm sound
COROT	"Woman With a Pearl" painter
APIPE	Foucault's "This Is Not ___"
WATERCOOLER	Dispenser of gossip?
SCREENTESTS	Players' tryouts
EMU	Image on Australia's coat of arms
OPAH	Fish also called a Jerusalem haddock
HENRYMOORE	Abstract sculptor whose work is seen at Lincoln Center
TEAM	Play mates?
ATA	Alma-___, city where Trotsky was exiled
RITEAID	Walgreens rival
ATARIS	Consoles popular in the 80's
UNLINKS	Separates
NAMEBRAND	Like fashionable apparel
KREME	Word in several Dunkin' Donuts doughnut names
SYRIA	Its flag has two green stars
OPENTO	Not necessarily against
AIRDRY	Hang out
TERRANE	Rock formation, to geologists
EBB	Low ___
EMAILER	Contemporary correspondent
EDMEESE	Iran-contra figure
CYR	Saint-___ (France's West Point)
BCDE	A following?
COPPED	Filched
SEMI	Formal introduction?
ATOMICBOMBS	Couple in the news in 1945
AWASH	Swimming
THREE	Lithium, on the periodic table
CHADS	Waste at the polls
SOLTI	Lifetime winner of the most Grammys (31)
REA	Blakey of CNN
WHOOSH	Fly (by)
PERON	President between Farrell and Lonardi
NEWS	Intelligence
ARLO	1968 album with the song "John Looked Down"
APPEALEDTO	Interested
POI	Island staple
DOH	Quote from Homer
TRE	Amount past due?
OKS	Accepts
SEER	One with special insight
DOESNTWORK	Fails
HERE	"Look ___ …"
SIDEDISHES	Carrots and mashed potatoes, e.g.
