APTER	More fitting
ANASS	Jawbone of ___ (biblical weapon)
PEPPY	Spirited
TROIS	Number of Dumas's Mousquetaires
EVENTENOR	*Balance in personality
RETOOL	Overhaul
PEEP	Sound in a hatchery
PERFECTGAME	*Pitcher's dream
EXES	Split personalities?
EPA	Waste watchers: Abbr.
POMACE	Crushed pulp
JOSE	Mexican muralist Orozco
JAMUP	Clog
ODDMENOUT	*They don't belong
SAXE	Old German duchy name
ERIN	Land o' blarney
NERVE	"The ___!" (perturbed cry)
EXPO	Major-league team member through 2004
ADAR	Month before Nisan
APOET	"I'm ___ and didn't know it"
REAM	Stationer's unit
MDXI	Year Cortés conquered Cuba
SPINOFFS	"Rhoda" and "Frasier"
FLEE	Take off
ACUMEN	Keen insight
CADET	Citadel student
SYSTOLE	Part of a heartbeat
SCAPE	Suffix with moon
SQUAREKNOTS	*Basic Scout ties
ELEC	Util. bill
QED	Mathematician's "ta-da!"
NAT	15-Across now, informally
AXES	Dungeons & Dragons weapons
TYRA	Banks on the runway
BARN	Where the cows come home
BOYS	Word before and after "will be"
AREA	Side by side?
REALMCCOY	*It's no fake
ETTU	Words to a traitor
TIC	Quirk
EPOXY	Glue
PRIMETIME	*It follows the evening news
OREOS	They're often twisted apart
SNIPE	Marsh bird
GIA	Supermodel Carangi
TRUER	More trustworthy
YEARN	Long (for)
ACRE	Growing room?
EXIT	___ row
ITSA	"___ boy!"
SAL	"My Gal ___"
IBM	Former Notebook maker
BLITHE	Cheerful
EXAM	Final, e.g.
ANIMAL	20 Questions category
MAPLE	Sugar ___
ALERT	Open-eyed
KINESIS	Stimulus response
SATON	Squelched
INTRA	Prefix with venous
SKYES	Some terriers
NUCLEI	Centers
NOAH	Ancient mariner
UNTO	Gay Talese's "___ the Sons"
ANTITANK	Like some missiles
ACNE	Bad marks?
ONCE	First word of "The Raven"
TYCO	Tickle Me Elmo maker
YIN	Feminine side
MITTY	"The Secret Life of Walter ___"
ATOR	Suffix with origin
HINT	"The first word of the answer to each of the six starred clues describes the number of that clue," e.g.
AMORE	"That's ___!"
HOYT	Pitcher Wilhelm
ENES	Chemical endings
LENAS	Horne and Olin
