PASTED	Thwacked but good
PIKE	Expressway
ANNA	Trollope's "Lady ___"
SCORECARD	Place for strikes or strokes
TOWNS	Dots on a map
EDS	Salon workers, for short?
DEFT	Nimble
AWAKEN	Come to one's senses
ACUATE	Pointed
WARSHIP	Main threat?
ALG	Calc. prerequisite
KIN	Blood sharers
ECUS	Old French coins
NOSERINGS	Results of piercing pain?
ATTACHE	Trial case
ABM	1972 treaty subj.
TRADED	Available on the stock exchange
TOSEA	"And they went ___ in a Sieve": Edward Lear
ANTIC	Robin Williams-esque
CZECHBIMALE	Eastern European guy who loves both sexes?
HERE	Word turned into its own opposite by putting a T in front
EDYS	Big name in ice cream
INCODE	Needing crackers, say
CALICO	Spotted cat
BRONZED	More than tanned
KNOWSFOURGNUS	Is acquainted with a quartet of wildebeests?
OWER	Shy person?
MASTERY	Consummate skill
EARN	Have coming
TWAS	Poetic contraction
SEM	Religious sch.
MENTOS	Candy billed as "The Freshmaker"
DEICES	Clears for liftoff
ESO	What is that in Mexico?
OBEY	Heed
ETHOS	Community character
ONO	She was famously married 3/20/69 at the Rock of Gibraltar
SNL	Initials for two Belushis
RETEACH	Drill one more time
TEA	Bagged leaves
ABC	Early run?
ABED	Horizontal, perhaps
BRAU	Oktoberfest serving
BAREINNMINED	Booby-trapped nudist resort?
ARI	"Exodus" hero
MENE	Word on a wall, in the Bible
BRO	Soul buddy?
RAPTOR	Vulture, e.g.
ONSETS	Beginnings
BRACER	Skin ___
CLEF	Symbol on the front of some bars
POLENTA	Cornmeal creation
ASIAN	Like 60% of people
ARREST	Halt
SANA	Mideast capital
EARLYISH	Prudent time to get to the airport
SMEAR	Campaign dirty trick
HIRT	Trumpeter on the "Kill Bill" soundtrack
NGO	___ Dinh Diem of Vietnam
GRAMPS	Old guy, slangily
GOTTA	"___ go!"
DUDE	Young guy, slangily
MISTRESS	Subject of some gossip
SIB	Sis, e.g.
TCU	Horned Frogs' sch.
ROYAL	Kind of pain
ORNATE	Busy
FEDERICO	Poet ___ García Lorca
EMINOR	Key of "The James Bond Theme"
DEEDS	List for St. Peter
ATEALOT	Had plenty
ANTSY	Fidgety
AMY	"Once in Love With ___"
APPALS	Horrifies
MOOLAH	Cabbage
YULEBEEMIST	Christmas quilters' haze?
MEATBUYCHANTS	Vegetarians' supermarket protests?
CPA	Number cruncher, for short
HOC	Ad follow-up?
ASEC	"Wait ___!"
ERS	"Um" cousins
POUTIER	Sulking more
TARO	Poi source
APOSTATE	One who's fallen
EACH	Individually
POLAND	Home of the world's second-oldest written constitution, after America's
GOPLACES	Make it big
GEORGE	One-spot
ONONESWAY	En route
PONE	Oval-shaped loaf
AWAY	Traveling
WINDPOWER	Alternative energy source
ASIN	Speller's phrase
YMCA	Community ctr.
ALEROS	Old Olds models
ENO	Record producer Brian
CYNICISM	Belief in disbelief
NEO	Prefix with realist
ITSY	Teeny, slangily
LABOR	Contractions
BOONIES	Outskirts of the outskirts
BOR	Manhattan, for one: Abbr.
ITE	Follower of Manhattan
EWE	Milk source
SOLARIA	Convalescent sites
ETHNIC	Italian, e.g.
SHE	___-wolf
BORNETWOLOOS	Transported a couple of Porta-Potties?
BARNES	Noble partner
LEVEES	Current resisters
ODED	Had too much
DNA	C.S.I. evidence
ENLARGE	Zoom in on
NOLTE	"The Prince of Tides" co-star
LIEIN	Certain 60's protest
EELED	Sought morays
YAP	Foolish talk
AROMA	Bouquet
MEMOIR	"Fanny Hill," supposedly
MAHI	When repeated, a dolphinfish
EBAN	Abba of Israel
ESA	Hockey's Tikkanen
ARME	French weapon
AVES	Fifth and Mad.
SFPD	Calif. force
ROPE	Skip it
PELF	Ill-gotten gains
ERAS	Mound stats
ABILENE	City on the Smoky Hill River
ERE	Poetic preposition
WRYBREDFLOWER	Rose raised by a sardonic gardener?
YEN	Long
BLT	Place for a toothpick
LAW	Postgrad field
HASTIER	Less considered
AMELIE	Title heroine of a hit 2001 French film
PAMELA	Diplomat Harriman
INTENSE	Emotional
YENTAS	Busybodies
DWARFS	Towers above
