RIAL	Omani's money
RECUSE	Disqualify in court
ISINTO	Enjoys a lot
ATTLEE	Potsdam Conference attendee
LAYOW	Knocks to the ground
STYX	It circles Hades nine times
SECS	Short moments
TAKE	Receipts
YVESSAINTLAURENT	Legendary name in 31-Across
XER	See 37-Down
HALAS	Pro Football Hall of Fame coach who once played for the New York Yankees
HARHAR	Sarcastic laugh
ALARM	Bank feature
LADYIPPER	Orchid variety
AMIE	Gallic girlfriend
SOIR	It may be "bon"
ESTA	Spanish pronoun
EAVE	Runoff site
ALAMO	Airport rental option
CITYICKER	Rube's opposite
IOS	Cyclades isle
RADII	Circle lines
UNLOOSES	Lets out
CHRYER	New York's ___ Building, tallest in the world in 1930
CLAN	Reunion group
STEWS	Agonizes (over)
SALAMI	Submarine base?
ALO	Phone greeting in Central America
EOE	Want ad letters
SCALAR	Graduated
SST	Former fleet member
CHI	Cub's home, for short
PTS	Figs. in sports reports
TITO	One of the Jacksons
SCAN	Word with brain or price
FASHION	See 7-Down
FLIT	Dart
AAS	Some batteries
EPIC	"Paradise Lost," e.g.
ERIE	Canal near Rome
PIGLATIN	"Upidstay" language
PACE	Gait
INON	Privy to
GALLEYAVE	"Ben-Hur" extra
GRETA	Girl's name that's a butterfly genus
GEN	With 8-Down, one who grew up on MTV, maybe
ANAIS	First name in erotic writing
TIREIRON	Tow truck tool
ION	Discontinued Saturn
RGS	Some QB protectors
COLT	Two- or three-year-old, maybe
COLOGNE	Product introduced by 7-Down in 1971
CASS	Whom Taylor defeated for president in 1848
OTT	Giant among Giants
ENL	Photography abbr.
SATANS	"___ Mistress," 1982 horror flick
SEPTET	Wedding band, maybe
CAR	One for the road
CICERO	"De Oratore" writer
ATTEND	Take care of
RASPED	Scraped
ERESTU	1974 hit by Mocedades
RICER	Kitchen gizmo
AKITA	Dog from Japan
APT	Suitable
KEYOT	Lock opening
PAYIPS	Check attachments
PALE	Prone to freckles
APEX	Ne plus ultra
RESPECTS	What may be paid when someone dies
EATS	Grub
SUEY	Chop ___
APACT	Make ___ with the devil
BEAUTYEEP	Extra shuteye
BAI	Actress ___ Ling of "Sky Captain and the World of Tomorrow"
LEVEE	Bank manager?
ANTE	Stud fee?
ORNE	River to the English Channel
EXERT	Push (oneself)
ITSY	Wee, informally
TODD	Liz Taylor's husband before Fisher
