GETSMAD	Bristles
GABFEST	"The View," essentially
ECUADOR	Home to Mount Chimborazo
TERRINE	Earthen casserole dish
STETTING	Letting stand
MOTHEATEN	Decayed
ANTED	Put in up front
DEER	Skittish herd
CEREALS	Post boxes?
CUCHIFRITO	Small, deep-fried pork cube
ETHYLENE	C2H4
READ	Size up
ENTRAP	Bait
ASTAIRE	Singer of "A Foggy Day" in "A Damsel in Distress"
LIESLOW	Isn't very visible
SLR	Shooter that may be digital, for short
ACETONE	Thinner option
UTENSIL	Piece of silver, say
BURETTE	Lab tube
CHATTER	A lot of foreign intelligence intercepts
FARTHER	Relatively remote
HYDRAS	Many-sided problems
EDITED	Ready to be put to bed
DIL	"Rugrats" baby
DROVEIN	Caused to be scored, as a run
AILS	Isn't O.K.
SWE	European Union member: Abbr.
SONIA	One of the Gandhis
ORFE	Golden fish stocked in ornamental pools
OPENLETTER	Means of public protest
PROW	Christening spot
TRENT	Nottingham's river
PORNO	Dirt
OVERACTED	Was broad on the boards
EWE	One protected by a collie
GENEVIEVE	Patron of Paris
NOCHEESE	Big Mac request
EXISTING	Real
UMP	One making calls
UKE	Island entertainer
MINERAL	Kind of water
PROXIMA	Nearest, to Nero
NONET	Schubert's "Eine Kleine Trauermusik," e.g.
EXACT	Demand
ASSUAGE	Lessen
CHEATER	One using a crib
TILLERS	They work the earth
KIRS	Some apéritifs
SLOPON	Apply messily
CLIO	Mother of Hyacinth, in myth
RISHI	Hindu sage
ENOL	Certain alkene
HEN	Incubator
PASSEL	Slew
PAAVO	___ Nurmi, nine-time track gold medalist in 1920s Olympics
EXOCET	Anti-ship missile that skims waves at nearly the speed of sound
CLOD	Chowderhead
TACTUAL	Touch-related
TSAR	Peter or Paul, but not Mary
TRIPLET	Part of a special delivery?
TVS	Picture producers
SATIATE	Be quite enough for
VAMOOSE	Amscray
AVENGER	Hamlet, notably
SLANDER	Give a bad name
RODGERS	"On Your Toes" composer
