MAMBA	Cousin of the cobra
MAS	Pas' partners
ALP	Matterhorn, e.g.
MEL	Ott of the Giants
BRISK	Like fall weather
ATTHETOP	Above all others
ZINC	Metal in galvanization
ZIPS	Postal aids, for short
INA	___ manner of speaking
NCR	Big A.T.M. maker
CATNIPS	Feline attractants
ACHE	Yearn
AREA	Region
CHARGEAHEAD	Assess per person?
HERBS	Rosemary and thyme
EASYA	No-stress class
ALERT	On the ball
INCA	Early Peruvian
RHEA	Perlman of "Cheers"
SPLITAPART	Share acting duties?
AERO	Commercial prefix with star
EARS	Elephant flappers
SHES	"___ Always a Woman" (Billy Joel hit)
NEARBY	Within earshot
ELO	"Evil Woman" grp.
HACKER	Computer troublemaker
HOARD	Squirrel away
AIMEE	Anouk of film
CLIMBABOARD	Prepare to surf?
GAIL	1992 Olympic track star ___ Devers
GETAWAY	Discover how to do something?
AMIDST	Surrounded by
GSA	Fed. property manager
OIL	Oklahoma wealth
TOTEMPOLE	Indian post
TOWARD	In the direction of
LEAR	Shakespearean king
AMIGO	Mexican friend
GASP	Sound of astonishment
OTIS	Mayberry man
EARP	O.K. Corral lawman
RANDI	"Amazing" magician
PLAZA	City square
REMAP	Delineate again
WAD	Roll of dough
MAHAL	Taj ___
MASTERED	Achieved expertise in
DEBS	Ball girls
MAWS	Huge mouths
MANOWAR	Early thoroughbred champ
ARENA	Football site
APPARATUS	Machine
PAT	Butter square
USDA	Org. that rejects bad eggs
ADZ	Cutting tool
APB	Alert to squad cars, briefly
AGREE	Concur
PROUD	Like a new parent
ANDY	Mayberry man
STADIA	Football sites
ASONE	In unison
GROTTO	Small cavern
TROY	Legendary Greek conquest
ODES	Poetic tributes
OKRA	Gumbo vegetable
ROAR	Sound of crowd approval
WALKAROUND	Golf 18 holes sans golf cart?
AMI	French friend
LOT	Auction unit
UTE	Comanche enemy, once
NED	Beatty of "Deliverance"
DRS	Stethoscope users: Abbr.
EURO	Replacer of the franc
AMOR	Love god
ENTER	Sign on a door
EDDY	Water swirl
RITA	"Lovely" Beatles girl
DEEDS	Boy Scouts do good ones
