PABST	San Antonio brewer
PASHAS	Ottoman V.I.P.'s
ALLURED	Led on
BLINKER	Something you use at every turn
SECT	Splinter group
TREASONOUS	Disloyal to the state
TOLEDO	Home of El Greco
TENDER	Fuel car for a steam locomotive
OLDPRO	Veteran
LODE	Miner's quest
EPIC	Large-scale
DECK	It's not damaged by cutting
ODE	Ben Jonson wrote one to himself
FAVA	Broad bean
FIRETRAP	Object of condemnation
AMEDEO	Italian artist Modigliani
VALIDLY	On good grounds
AMA	Org. with a caduceus logo
BAG	Catch
BAITANDSWITCH	Fishing lure attached to a rod?
ADVERSE	Hostile
GOESBAD	Spoils
ALLER	To go, to Godot
ELOPED	Departed without ceremony?
IMAM	Mosque bigwig
ADO	Clamor
SLICEANDDICE	Order at a Vegas pizzeria?
ANT	Grasshopper's teacher, in Aesop
RELATIVE	Not absolute
TUB	Dilapidated boat
HUNTANDPECK	Two Oscar winners for best acting?
JEDI	"Star Wars" knight
JIDDA	Red Sea port
UTES	Colorado natives
ARK	Gopher wood vessel
STER	Suffix with prank or trick
SITED	Positioned, as artillery
SNARK	Carroll creature
BARB	Unkind comment
SEETO	Handle the arrangements for
TAB	Typewriter key
ROCKANDROLL	Ingredients in a Flintstones sandwich?
CMD	Mil. officer's position
KASBAH	Algiers quarter: Var.
ASCOT	English racing village
LARD	Cooking fat
NSA	Code-breaking govt. group
DRANO	It'll open your trap
OWN	Have
MASADA	1981 miniseries set in A.D. 72-73
YARDED	Surrounded by lawn
REGGAE	Jamaican export
BOWANDSCRAPE	Two features of interest on the sunken Titanic?
ADMIXED	Blended
NOONE	Who leads an anarchy?
ERNESTO	Che Guevara's first name
RES	In medias ___
PAK	U.P.S. delivery
PABLO	Nobelist Neruda
AMAIN	At full speed
KISSANDMAKEUP	Things linked in the minds of 70's music fans?
UNDO	Reverse
BOK	___ choy
RIDGWAY	Eisenhower's successor at NATO
IDS	Checks for ages, say
ABRAM	The "A" of James A. Garfield
YEANS	Has kids
AMISS	Not right
SEADOG	Jack-tar
MOWAT	"Never Cry Wolf" author Farley ___
WAN	Pallid
LAND	Set down
LEI	Floral wreath
ANTIC	Madcap
GIBE	Wisecrack
BASE	Kind of metal
DINAH	Singer Washington
DOT	Part of a Web address
GENES	Father-to-son bequests
GUINEA	Former British money
ATRA	Gillette brand
LISA	Sax-playing Simpson
OXEN	Draft picks?
SUITS	Execs
SCARP	Clifflike ridge
PECAN	Ice cream flavor
PRETENDSTO	Claims, as the throne
ONADATE	Out, socially
AVEC	"___ plaisir, monsieur"
SCI	Nobel area: Abbr.
SKIDS	Road to ruin
ITOR	"Believe ___ not!"
OVA	Eggs
HMS	Initials at sea
NOV	Guy Fawkes Day mo.
DUCKANDCOVER	Raw materials for a feather pillow?
USATODAY	Colorful newspaper
CONES	They get scoops
DES	"Der Ring ___ Nibelungen"
REM	___ sleep
CADGER	Sponge
CRAYOLA	Big name in kindergarten
APROPOS	Fit
RUNTISH	Small and weak
SOIREE	Evening do
ATEAT	Troubled
AIRLINE	Delta, for one
TREADED	Like tires
RPM	Dashboard abbr.
CUTANDPASTE	Types of gemstones?
TOWNIE	Nonuniversity type
TOGAED	Like Roman senators
ELANDS	African herd animals
EMIRS	Islamic chiefs
SAYERS	"The Nine Tailors" author
ARAB	Oman man
BEN	Big ___
NOTES	Observer's record
OLIN	Actor Ken
IND	Person with a 114-Across?: Abbr.
REA	New Deal program: Abbr.
YOKE	Coupler
TWOS	Couples
PLUGANDPLAY	Theater show that follows a commercial?
PLOT	Garden area
LILA	Reader's Digest co-founder ___ Wallace
UPON	Familiar with
PLOP	Sit (down)
OPENMIND	You might be asked to keep one
MAW	Big mouth
SLIPANDSLIDE	Items in a Victoria's Secret marketing presentation?
SSS	Sound after a pinprick
LOU	Vocalist Rawls
ASIA	___ Minor
SOLOED	Went alone
TONER	Canon fodder?
ASP	Egyptian headdress symbol
WHEY	Byproduct of cheesemaking
STANDS	Seating area
OPEDS	Articles by nonstaffers
