BIGTICKET	Very expensive
BAABAA	Nursery rhyme start
ILLINI	Big Ten team
GLIDER	Aircraft
TAE	Menlo Park initials
IBNSAUD	30's-50's Arab ruler
CRAG	Outcropping
KETT	Funny Etta
EVE	Christmas ___
TEDTURNER	Courageous skipper
PACTS	Covenants
PALOMA	"___ Blanca" (1976 hit)
ADO	Stir
COMINGLE	Mix together: Var.
TRAVELER	Itinerant
SENORES	Misters abroad
ALLABREVE	Cut time, in music
ADORE	Honor
ALIENATED	Turned off
LOMAN	Noted stage role of 1949
BID	Nod, maybe
SGT	___ Heath of Philo Vance mysteries
TOO	Extremely
OMITTED	Missing
IVO	Literature Nobelist Andric
ANERA	End of "the end of"
ROASTER	Friar cutup
SUMMONER	Process server
STANDEE	Straphanger
ONASSIS	Noted groom of 1968
AIROUT	Talk over
TABARDS	Coats with coats of arms
TRIANGLE	Marital situation
ADAMANT	Inflexible
MENAGERIE	Carnival exhibit
ALES	Brewings
OPS	Wife of Saturn
ONELLAMA	Nash character
PINDARIC	Ode form
BENET	He originated the line "Bury my heart at Wounded Knee"
SER	Inspirational talk: Abbr.
SNIT	Agitation
STEAMER	Clambake delicacy
ANDRESS	She played "She"
SEASIDE	Oceanfront
TENEBRAE	Holy Week service, for Catholics
BIASED	Unfair
DEICED	Cleared, in a way
COGENT	Penetrating
ENESCO	Teacher of Menuhin
DENSER	Less clear
ELDRIDGE	Jazz trumpeter Roy
ASONE	All together
ALA	___ provencale (with garlic or onions)
ASE	Suffix with RNA
MAS	Barker and others
MACC	Book of the Cath. Bible
ADAH	Wife of Esau
GEN	Brig. ___
MARIS	Home run great
ILE	Addition to percent
READINESS	Inclination
ENS	One who takes capt.'s orders
NEA	Teachers' org.
EMILE	Microphone inventor Berliner
INCADENCE	Rhythmically
RACED	Ran
ESCHEATOR	Legal officer in charge of reversions of land
