ASLEEP	Out
ALBS	Celebrants' wear
SOOT	Grate stuff
LUNA	Selene's counterpart
EVAN	Hunter a k a Ed McBain
EEC	U.S. trading partner, formerly
PROTON	A hydrogen atom has one
HALLO	Greeting from Pooh
HATCH	Get cracking, in a way
ARETE	Mountain crest
LMN	K-O filler
LETTUCE	Moolah
ONIONS	Whopper toppers
STACK	Accumulation
SOB	Cry with catches
TRIABLE	Subject to court proceedings
AIRBUD	1997 basketball film
CODACONDUCT	Musicians' behavior, in the end?
KNICK	New York hoopster
LOUVER	Ventilating slat
ARMENIA	Neighbor of Turkey
IOTA	Speck
ANAT	Pre-med course: Abbr.
ORIONS	___ Belt (constellation feature)
SEIS	Cinco follower
BONACONTENTION	Good fight, in old Rome?
NATE	Celtics' Archibald
BIRDIE	Teller of secrets, in a saying
STAN	Hockey's Mikita
TACT	Diplomatic trait
TOTAL	Smash really bad
LEWIS	Olympics athlete Carl
ABACI	They give sum help?
TOTHETUNATENBUCKS	Costing a fish two fins?
TIKI	Polynesian carving
TATE	British poet laureate Nahum
NANO	Prefix with second
COCAINE	Anesthetic, once
CAHN	Songwriter Sammy
OBOE	Shawm descendant
CAWS	Raven sounds
ACCT	C.D., for one
ACS	Hotel room fixtures, for short
WALDO	He hides in kids' books
ABACK	Taken ___
ESTE	This, to Luis
EARN	Deserve
SMEAR	Slide specimen
SPINE	Gumption
SON	Word ending many company names
PROW	Stem
NEO	Classic prefix
ENERO	When Plácido Domingo was born
OASES	Welcome sites
HOWCILIAME	"Oops!" to a paramecium?
LIANA	Tropical vine
INNES	Laura who plays Dr. Weaver on "ER"
TORSO	Trunk with a chest
TIRES	Quartet on a Quattro
EDNA	Author O'Brien
ELAN	Verve
NEST	Digs of twigs
INRE	Regarding
DINO	The Flintstones' pet
DAVID	Saul's successor
BLUES	Holiday music
BEAD	Indian valuable
MANNAWAR	Biblical food fight?
MRED	He was more than a neigh-sayer
WIPED	Dried, maybe
WISEACRE	Know-it-all
ILIAC	Of a pelvic bone
SENNA	Cathartic drug
OSBORNE	"Tom Jones" script writer John ___
OTROS	Others at the Alhambra
SHULA	N.F.L. coach Don
BELATHEBALL	An obese Lugosi?
OBEY	Mind
RIVET	Fix firmly
TAMER	Animal handler
LEANTOS	Basic shelters
THEBEAST	World's longest wooden roller coaster, located in Cincinnati
TREE	Lemur's hangout
PISAMIND	What a citizen like Galileo had?
MOCK	Imitation
RULED	Did lining
REED	Feature of some winds
ERS	Voiced pauses
MOAN	Express regret
BEAU	Squire
BALI	Java neighbor
ERGO	"Tantum ___" (part of a Eucharist hymn)
ADAR	Purim's month
USES	Applications
OLAY	Word on some Procter and Gamble lotions
SNERD	He "spoke" for Bergen
SLUR	Aspersion
NUMBS	Ices, perhaps
DECCACARDS	Cutups at a record company?
DOPE	Know-nothing
CAVE	"B.C." abode
SAT	Parked oneself
GLUES	Fixes firmly
GLADDEN	Cheer
PORK	"The other white meat"
POSTAGE	It's saved by E-mail
ALGAE	Certain thallophytes
HILUM	Seed scar
IBERIA	James Michener narrative
BOP	Whack
BAOBAB	Thick-trunked tree
SAVIORS	Rescuers
SLIT	Skirt feature
ALOHAS	Ho's hi's
THEBARBARASEVILLE	Cadillac driven by Monica's interviewer?
TRAM	Streetcar
HOWIE	Mandel of "St. Elsewhere"
ACTS	Takes steps
ROUE	Libertine
VIOLA	String quartet member
IDOLS	Teen faves
ROBED	Covered for court
SCOOT	Hightail it
IDIO	One's own, for a starter
BUSH	Unprofessional, slangily
BAIT	Entice
USDA	Abbr. on egg cartons
STER	Spin tail?
HESS	Pianist Dame Myra
AWARDS	Edgar and Hugo, e.g.
SUD	Nord's oppostie
TUBATOOTHPASTE	Unusual brass polish?
TUT	Scolding syllable
PSI	Phenomenon such as ESP
MILIEU	Social surroundings
SEAGULL	Coastal town crier
ASIDES	Parenthetical lines
ELAND	Twisty-horned antelope
BETAS	Some stars
SITARS	Ones sticking their necks out to entertain?
