JIMJAMS	Heebie-jeebies
JACKS	10 superiors
IRONS	Fetters
MRMET	Citi Field mascot
JIBE	See eye to eye
AVA	Gardner of "Mogambo"
MATHIS	His 1959 album "Heavenly" was #1 for five weeks
SLAED	Set upon a slope, say
PAGEAS	They may have titles
PERE	A Dumas
ADO	Hullabaloo
GETME	"See what I mean?"
EVIAN	Big brand of 55-Across
AACID	Something that might work on a full stomach?
SCANS	Optical readings
ARRIVAL	Landing
MEDEVAC	Expensive way to the hospital
MES	"___ amis ..." (start of a French oration)
COMBATA	Enemy encounter
EROTICA	Unlikely section in a religious bookstore
KNEE	Last word in "Oh! Susanna"
HESSE	"The Glass Bead Game" novelist
SECA	Trig function
MAIN	Lead
SST	High flier, once
RIDE	Teacups, e.g.
ROSANNE	Cash in the music business
SENDS	Asks (for)
STUFFIT	"Shut up already!"
DOS	Bashes
DABO	Actress Olivia of "Law & Order: Criminal Intent"
CHAT	Web ___
HAMS	Soupy Sales and others
ABE	Former Japanese P.M. Shinzo ___
GALAS	Bashes
GIA	Yankee fighter
AKA	Letters between two names
LEG	Yours may be asleep while you're awake
FAABULOUS	Absolutely terrific
FAZE	Fluster
LION	Ali, the ___ of God
ORR	CBS newsman Bob
USA	NATO founding member
STY	Trough location
IKEBANA	Japanese flower-arranging art
NIL	Goose egg
MEFIRST	Selfish, as an attitude
AAGONIZES	Gets upset
ERST	Once, once
FORAY	Plundering opportunity
NLER	D-back or Card
TIN	Biscuit holder
TORERO	Picadors assist him
ISSUE	Appearance of O or W
IWAIN	Cry at a poker game, maybe
SHANE	Title film character who's idolized by a boy named Joey
SERBS	Some Balkanites
UNCUT	Full-length
SPOT	Locate, as Waldo
PEREC	Georges with the best seller "Life: A User's Manual"
RIA	Narrow inlet
RECUR	Arise anew
INTRO	Many a freshman course
ANSEL	Photographer Adams
WHEN	"Say ___"
WATER	See 11-Down
WILD	Like eights in crazy eights
ACT	Don't just sit there
PENN	An Ivy
PEST	With 65-Across, extermination ... or what can be done to 10 answers in this puzzle without affecting their clues?
AARCTIC	Pole position?
TIE	Distinctive Dilbert feature
REJECTS	Unpopular ones
JAN	M.L.K. Day month
INBUILT	Congenital
ERASURE	Name-dropping, maybe
NESTED	Stored compactly, in a way
CONTROL	See 57-Down
