ASSUAGE	Temper
APIECE	For one
SOMBER	Not at all sunny
SUABLE	Fit to be tried?
URGES	Id output
ACID	Mordant
GON	Suffix with 19-Across
ELAPSING	Going by
GRAPPLE	Ape wrestlers
GWYNNE	Fred of "The Munsters"
RAFTS	Hosts
ATRA	Brand in a bathroom
PEI	Linguist Mario
PRENATAL	Before being delivered
LONESOME	Unfrequented
ENDZONES	Chief goals?
POURCOLDWATERON	Be negative about
DRESSY	Smart
IMAGINARYFRIEND	Hobbes in "Calvin and Hobbes"
EBBED	Went to a lower level
PENTA	Prefix with 6-Down
NEZ	Body part above la bouche
CELS	Frames found in frames
ASSNS	Clubs: Abbr.
ALONE	Exclusively
PASO	Señora's step
PASTY	British meat pie
ERE	"A little ___ the mightiest Julius fell": Shak.
ELISE	Actress Kimberly of "Close to Home"
ERINS	Actress Gray and others
RATON	Give away
RENTA	___-crowd (attendance booster)
CRONY	Intimate
CHOMP	Make like Pac-Man
SESAME	Tahini base
SERFS	They're bound to work
WISHING	Well activity
WATCHOUT	"Heads up!"
ICEHOUSE	It stocks blocks
STRICTER	Less lax
GENTLES	Domesticates
GIFTWRAP	Prepare for a shower, maybe
ACTONE	Dramatic beginning
DIRTY	With 44-Down, Cajun dish with giblets
DONEES	Foundations, often
TERMS	Polynomial components
HOFFA	Subject of some conspiracy theories
HUNGRY	Aggressively ambitious
JED	Prez's first name on "The West Wing"
JEROME	Basso Hines
EMCEES	Hosts
DOESNT	"Who ___?"
CHIP	Shot near the green
RUNTS	Little piggies?
REGAL	August
MEMO	Staff note
MINSK	Belarus's capital
HOC	Ad follower
RENEW	Playboy's plea?
RICE	See 34-Across
CIRCE	She's dangerously fascinating
CAEN	Longtime columnist who coined the term "beatnik"
OUTRIGGERCANOES	They're not easily overturned
RDS	Cloverleaf composition: Abbr.
CLI	Second-century year
USEDCARSALESMEN	Stereotypically smarmy sorts
TERSELY	Without much wind
PINKEST	Tickled the most?
