IFAT	"___ first you..."
INSEAM	Fashion line
FIANCE	Ring bearer?
ANTLER	Horn
TEMA	Puccini melody, e.g.
JOEFRI	Sgt. of 50's TV
JETER	1996 A.L. Rookie of the Year
OXIDIC	Like rust
EIN	German article
FLEA	Kind of bag
REEL	It might wind up on a boat
ISSO	"That ___ you!"
BAH	Cousin of "Phooey!"
BIGFOOTS	Yeti-like creatures
ATALOSS	Puzzled
HOLYTHU	Pre-Easter time
NINE	Emergency CB channel
EXILES	Some former dictators, e.g.
ITO	Skating champion Midori
SATMATINEES	Some Broadway performances
ACTEDON	Followed, as an impulse
GAL	Hoedown participant
ENLACED	Braided
ALOOFLY	With indifference
OHM	Man with a law
ACE	Crackerjack
TRIB	Chi paper, with "The"
BLUEMON	Post-weekend letdown
HOOT	Jeer
MERLE	Actress Oberon
LAH	___-di-dah
CLOD	Chunk or clunk
ORR	Onetime Esposito teammate
DADO	Pedestal part
MOSH	Slam-dance, 90's-style
ADD	Put together, in a way
DROP	Word with anchor or dead
URAL	___-Altaic languages
LAMPOON	Harvard tradition
TSU	Nashville inst.
SHORTERDAYS	Winter feature with a hint to today's puzzle theme
SCURRIES	Hightails it
TAR	Bluejacket
YEA	Voice vote
ROC	Bird of legend
RUBYTUE	1967 Rolling Stones hit
ONEARTH	Here, not in heaven
NOAM	Linguist Chomsky
OME	Cockney's abode
UNUM	Word on a coin
MID	Term start?
PROF	Fac. member
FACADE	Pretense
PARER	Kitchen gizmo
RESEDA	California locale whose name is an anagram of 52-Down
ENERGY	Oomph
REDSEA	Biblical locale
BERI	When repeated, a vitamin B deficiency
NATO	Alliance since 1949
TRIED	Heard in court
ENE	Compass dir.
YARDAGE	Football stat
ASIA	Where Myanmar is
GUNN	"Treasure Island" character
ENVY	It's a sin
CROSSED	Betrayed
STEM	Main part of a word
TRI	Prefix with angular
SUNPAINTERS	Dilettantes, maybe
PAW	Hand, slangily
UTE	Adaptable truck, for short
INVADE	Encroach on
EDGE	Superiority
EHS	Surprised comments
ANYWED	1966 Fonda-Robards movie
MAYA	Guatemala natives
