ISNO	"Ignorance ___ excuse"
ISE	Suffix with expert
STR	Sailors' passage: Abbr.
NAUTICAL	Like some knots
ONTIME	Punctual
REAMS	Large quantity of writing
REFER	Make allusions (to)
EYES	Scrutinizes
ACH	"Alas" in Augsburg
MUTATE	Change dramatically
SPORE	Puffball emanation
ARLO	Live folk album of 1968
ASK	"Don't ___!"
RECTOS	Odd pages
LEARNS	Picks up
ONBASE	Part way to scoring
STANLEYCUP	Annual prize named after a Canadian governor general
LURES	Angler's collection
SEEN	Visited
ERUTUFEHTOTKCAB	1985 sci-fi rerun?
TAPPET	Click and Clack, the ___ Brothers
TIRES	They might be chained
ARA	Constellation near Scorpius
TRA	___-la
PRIMER	Undercoat
PRO	With 51-Across, for the nonce
RAN	Published
STEPSONS	New spouse's acquisitions, maybe
SHERBET	Dessert eaten with a spoon
SAGO	Palm starch
RACES	Hippodrome events
SHE	That girl
STE	__-Anne-de-Beaupré, Québec
PASSE	Not in
ONA	Bach's "Air ___ G String"
ATE	Dug in
ACT	Do one's part?
BEG	Seek help
BAT	Cave denizen
LLACERLATOT	1990 sci-fi rerun?
LOIS	Hi's partner
APIECE	Each
LET	Court call
THREATEN	Loom
OPT	Decide
BET	Pot addition
HBO	"Six Feet Under" network
BAR	Keep out
OHS	Exclamations of surprise
ASCII	___ art (text graphics)
ACTION	Shout on the set
SLEDGE	Heavy hitter
COMERS	Rising stars
PET	Collared one
PESTER	Drive up the wall
SARAH	Singer McLachlan
SACRA	Pelvic bones
AGOUTI	Rabbitlike rodent
CLOSESET	Like an owl's eyes
SCHMO	Ordinary Joe
LAGERS	Budweiser offerings
LONER	Extrovert's opposite
TEM	See 22-Down
CCS	Not originals of letters, for short
COCOA	Après-ski beverage
COTE	Homing pigeon's home
IDEJEHTFONRUTER	1983 sci-fi rerun?
JET	Black
FAD	Furbys, once
ERA	Distinctive time
RST	Q-U link
OGRE	Storybook meanie
MEATEATERS	Carnivores
NEST	Egg container
ORDER	It's placed at the counter
INAT	___ the kill
