WANTAD	Personal
WISHBONE	Lucky break provider?
ACHIEVES	Pulls off
NEAREAST	Turkey's locale
TAKEN	Conned
AGEE	"The Night of the Hunter" screenwriter
DEN	Cubs' home
DOPESTER	Pre-election consultant
DULLING	Taking the edge off
ONIONS	Parmentier : potatoes :: lyonnaise : ___
PIVOT	Basketball position
EVER	Not just for now
SEW	Finish (up)
TRIPLE	Quite a diving somersault
ESTEEM	Prize
REHABS	Fixes up
ICEAGE	When modern elephants first appeared
UNIVERSE	Interest for Einstein
SHAKEN	Not calm
LIVEWITH	Abide
HIREE	Personnel director's find
FLOOR	Blow away
FANNY	Rear
PEA	Lump size
BEEN	"___ So Long" (1958 hit)
FAINT	Hard to make out
FAIRY	Kind of magic
BLEB	Air bubble
BELCH	"Twelfth Night" character
OVA	Reproduction necessities
BANNS	Wedding broadcast
BLAHS	Ennui
DEEMS	Considers
DANCE	Domain of one of the Muses
NESTLING	Chick
TUTEE	One in a class by himself
GAL	"Sleepy Time ___" (1926 hit)
GIANT	Whopper
ESTUARY	Where a river meets the sea
SINCERE	Open
SOOEY	Cry before dinner?
EMERGENT	Not still hidden
RELIANCE	Trust
ENFOLDED	Wrapped up
THY	"___ will be done"
COACHMEN	Whip carriers
CLEANER	Janitor
RISES	Result of bull markets
RAINED	Was wet
INCISE	Cut into
STUNTS	Crashing cars and jumping out of planes
ALONE	Without support
ALLEGE	Declare
ELF	___-child (changeling)
ANTE	Pony up
SLEET	Driving hazard
SPENT	All tuckered out
BRIO	Punch, so to speak
BEGOT	Conceived
ICU	Place for some tents: Abbr.
SPLAY	Spread out
STAR	Magi's interest
LEGAL	21, maybe
LATE	When repeated, like some shows
NINETEEN	Not quite 48-Across
ERE	Before, once
TAGEND	The very rear
TAN	Paddle
ESTRANGE	Turn away
ATONCE	Not later
DESERTER	No-show
NETTED	Garnered
