SKAT	Trick-taking card game
SICS	Sets (on)
KNOW	In the ___
AGUA	It'll douse a fuego
TARMAC	Frequent congestion site
MOCHA	Yemeni port famous as a source of coffee
MAT	"Welcome" offerer
OXO	Kitchen gadget company
CITI	Big name in credit cards
HORN	Blast maker
AMYTAN	"The Bonesetter's Daughter" author
GRASSO	Former Connecticut governor Ella
GRENADA	1983 U.S. invasion site
RIAS	Narrow inlets
ACTI	Dramatic opening
SHIVER	Quake
SENECA	One of New York's Finger Lakes
ORG	E-mail address ender
SNARE	Take in
SHIN	Place for a guard, in soccer
NACL	Shaker formula
ARTIST	Word with scam or sketch
REINS	Means of control
EMMET	Irish patriot hanged in 1803
INGA	Swenson of "Benson"
AXIOM	Saw
RICHER	Comparatively flush
HAREM	"No men allowed" area
COURTTOTRYBEATINGVICTIM	Ambiguous headline about a man charged with killing his attacker?
TIGHT	Close
BENES	Elaine ___ ("Seinfeld" role)
VOLGA	One end of the Moscow Canal
SWAMI	Mystic
INTENSIVE	Level of care
ONLINE	Connected, in a way
AGOG	Bright-eyed
OPRAH	Longtime staple of daytime TV
GLADE	Popular air freshener
ANA	Santa ___
ECOL	Earth Day subj.
OUT	Dated
SST	Retired boomer
MARCHPLANNEDFORAUGUST	Ambiguous headline about a protest?
MAE	West of Hollywood
AGATE	Playing marble
ROREM	Composer Ned
ACERS	Their service is impeccable
NTEST	Mushroom cloud creator, briefly
FALK	Columbo portrayer
OBOES	Duo in a typical symphony
URGE	Exhort
SPIKE	Sudden increase on a graph
AGO	Gone by
TRACT	Parcel
SAAB	Company with the slogan "born from jets"
TARP	Field protector
EARL	Sandwich rank
LAIRD	Scottish estate owner
ADEEP	Take ___ breath
PTERO	Prefix with dactyl
LOOM	Hang over
OSCAR	Muppet who lives in a trash can
MIATA	Mazda model
GIVES	"What ___?"
VIDAL	"Myra Breckinridge" novelist
EDEMA	Abnormal plant swelling
SSNS	Info that may be phished: Abbr.
TEACHERSTRIKESIDLEKIDS	Ambiguous headline about school closings?
CRUSH	Trounce
REEVE	"Still Me" autobiographer Christopher
INSERTS	Some magazine ads
DRECK	Schlock
LEAKY	In need of a washer, perhaps
EMIR	Oil-rich ruler
STEEN	Dutch painter Jan
SCARE	Hair-raiser
EDEN	Fall setting
RUED	Was contrite
EDITH	Head of costume design
DIPSO	Lush
REST	Break
TREOS	Palm readers?
ATEAM	Field stars
MIRTH	Gaiety
AMS	Early hrs.
FEDSDISCOVERCRACKINLA	Ambiguous headline about a California drug bust?
FOLIO	Manuscript sheet
ERATO	Muse with a wreath of myrtle and roses
SPAMS	Makes unwanted overtures?
COREA	Jazz pianist Chick
CINCH	Breeze
NAVAL	Maritime
TOR	Rocky peak
TECH	High-___
HIPPO	One with a thick skin
EREI	" ... ___ saw Elba"
KYRA	Actress Sedgwick
ELAL	JFK-to-TLV option
LYCRA	Sock fiber
TSARS	Peter and Paul, but not Mary
SLING	Definitely no arm-twister
TONGS	Sugar cube holder
GUIDO	Father Sarducci of old "S.N.L."
STLEO	Fifth-century pope
TVMA	Rating of a program blocked by a V-chip
MLIII	11th-century year
AFLAC	Company with a "spokesduck"
CITYSHOMELESSCUTINHALF	Ambiguous headline about a vagrancy statistic?
SHAW	Newsman Bernard
ELOI	"The Time Machine" race
IDARE	"Do ___?"
NANAS	Grannies
HOOCH	Moonshine
SAIL	Progress smoothly
HILDA	Broom ___ (comics witch)
LILO	"___ & Stitch," 2002 animated film
ONE	It's next to nothing
RAHS	Encouraging sounds
HYATT	"Grand" hotel
SEX	Reason for a 98-Across
NOOK	Cozy corner
OVERICE	Not neat
KEVAN	N.F.L. running back Barlow
DEANA	Country singer Carter
ADAMN	Rhett Butler's last words
IAN	McKellen of "The Lord of the Rings"
LAWYERSGIVEPOORADVICE	Ambiguous headline about attorneys' pro bono work?
LIONEL	Choo-choo name
RELYON	Trust
SLIEST	Most cunning
PELVIS	Hip locale
VIACOM	MTV's owner
ASI	Do-do connector
AAMCO	Transmission repair franchise
STALL	Silver quarters?
AXEL	Jump in the rink
EVE	"___ of Destruction," 1965 protest song
ESAI	Actor Morales
ATOAST	Words said with raised arm and glass
AGFA	Film brand
SETS	Numismatists' goals
LITERALLY	Word for word
TAMA	Author Janowitz
ERIK	Composer Satie
LINT	It might get the brush-off
YOGA	Home stretches?
MAJOR	Huge
JAVA	Joe
OSAY	Anthem starter
RELO	Move, in Realtor lingo
MANGETSYEARINVIOLINCASE	Ambiguous headline about a stolen Stradivarius?
SCI	Poli ___
LOB	High ball?
ITS	"___ true"
CLEFT	Kind of chin
COSMIC	Vast
INGOT	Heavy metal bar
OVAL	Like the rim of an eyecup
OLLAS	Earthenware pots
INTAKE	Kind of valve
STABS	Wild guesses
MAYO	It's not held when it's used
