TEND	Shepherd
TIPJAR	Bill collector?
ETRADE	Online brokerage
NOEXIT	Sartre play set in hell
DOS	Fetes
PATHO	Logical beginning?
PEEL	Plastic surgeon's procedure
ABDUCTS	Shanghais
TETRAS	Colorful fish
HRH	Regal inits.
OTE	Native: Suffix
STDS	Regs.
SELA	Emmy-winning Ward
TRUISM	Platitude
DISNEY	Miramax owner
SCH	P.T.A. meeting place: Abbr.
OBJET	Curio
OLGA	Sister in Chekhov's "Three Sisters"
BORG	Five-time Wimbledon champ
JEANNIE	1960s sitcom title role
ESTEEMS	Prizes
TSETSE	Transmitter of nagana
ITOO	Langston Hughes poem
EBERT	Who said "No good movie is too long, and no bad movie is short enough"
ERIC	House Republican V.I.P. Cantor
LOESS	Windblown soil
PRESSEDTHEFLUSH	Used a push-button toilet?
SSE	Reno-to-L.A. dir.
FLASH	News bulletin
GRATE	Difficult surface for high-heel shoes
JAX	The Jaguars, on scoreboards
SLUR	"White trash," e.g.
LAIN	Been in bed
MAGNET	Kind of school
MUUMUU	Hawaiian attire
ADIME	Stop on ___
MERIT	Basis of a Scouting badge
CASCA	"Julius Caesar" role
SPAYS	Neuters
CACTI	Peyotes, e.g.
SEAU	12-time Pro Bowl player Junior
ABA	Litigators' org.
NES	Super ___ (game console)
RETE	Neural network
ITSPASTMYBUDTIME	"I can't drink beer this late"?
INERT	Chemically quiet
TERESA	Mother ___
DORR	U.S. rebellion leader of 1842
TRUETO	Loyally following
RUNS	Operates
UVEAS	Eye layers
ACHE	Flu symptom
AMORES	Ovid's love poetry
NAIVE	Green
NUGGET	McDonald's chicken bit
ATTACH	Affix
NYT	Largest city paper in the U.S.: Abbr.
NUMERIC	Having digits
RIA	Narrow estuary
ISAT	"The wolf ___ the door"
ASKEDIN	Welcomed, as a visitor
URU	Arg. neighbor
BUTTERBUSINESSBUREAU	Dairy regulator?
BRED	Mated
BEBOP	Jazz genre
NOELS	End-of-year numbers
BARAK	P.M. between Netanyahu and Sharon
AIRMAN	Aviator
UNLOCK	Open
RGT	Mil. unit
ATEM	"Up and ___!"
OSAKA	It was destroyed by Godzilla in "Godzilla Raids Again"
TINS	Cans
SDAK	Neb. neighbor
EGADS	"Zounds!"
DOESOK	Gets a C, say
BEEFEATER	Yeoman of the British guard
EIRE	Where Guinness originates
FEELNO	___ pain
WORLD	Sci-fi writer's creation
WISHI	Words before may or might
DECO	Like Rockefeller Center
ORIEL	Cantilevered window
DALI	"The Hallucinogenic Toreador" artist
LETAT	The French state
MOA	Extinct relative of the emu
THEUMPIRESTRIKESBACK	Baseball official gets revenge?
URNS	Mantel pieces
MIDWAY	Convenient meeting place?
TESTA	Seed coat
RELAX	"Put your feet up"
BILBO	Tolkien hobbit
SRI	___ Chinmoy (late spiritual leader)
CEL	Toon frame
EEN	Poetic dark period
THINK	"Concentrate!"
TBONDS	Govt.-issued securities
TOPPLES	Overthrows
BROILER	Oven option
SIL	Part of R.S.V.P.
NASL	Pelé was its M.V.P. in '76
AUSSI	Also, in Arles
TAIL	Shadow
TUNNELS	Places for moles
WORKSWITHOUTANUT	"The bolt alone is sufficient"?
WASABI	Mustardy condiment
TOPHAT	Cane accompanier, maybe
HELENE	Curtis of cosmetics
NOBLES	Aristocrats
BELT	Stiff drink
ETCHED	Fixed for all time
LEMUEL	Gulliver of "Gulliver's Travels"
TRANNY	Gearshift mechanism, informally
APO	Mil. address
ALOE	Medicinal succulent
SAXON	Native of Leipzig
VOTER	One looking for a ticket, maybe
VIE	Contend
SPIFFY	Spruce
FINE	"O.K. then"
FEED	Network signal
PLUS	Added value
ULAN	___ Bator
BNAI	Sons of, in Hebrew
ARLO	Author/poet Bates
CMA	Nashville-based awards org.
ALLIE	Pitcher Reynolds of the 1940s-'50s Yankees
THELITTLEREDHUN	Story of a small Communist barbarian?
TBA	TV schedule abbr.
TEL	10-digit no.
TWA	Former rival of USAir
DPI	Printer specification: Abbr.
BEENE	Designer Geoffrey
BANA	Eric of "Munich"
EWELL	Gettysburg general under Lee
PEEN	Hammer part
ISRED	"The East ___," song of the Chinese Cultural Revolution
ATEN	Egyptian solar disk
LASSO	Catch in a ring, maybe
IDLY	Without much thought
