NEAR	___ miss
NANU	TV alien's word
ENOS	Son of Seth
ANTE	Kick in, say
REFRAME	Change the focus of, as an argument
DRUM	Oil holder
DIRECT	Face-to-face
RATE	Bank quote
UGH	Zero-star restaurant review?
MOE	Baseballer and O.S.S. spy Berg
APSE	It's often vaulted
ADESTE	Carol opener
PRESS	Basketball tactic
SAKI	Pseudonym of H. H. Munro
EGOS	Teamwork thwarters
NAFTA	Pact of '94
NAH	"Uh-uh"
ARE	The Who's "Who ___ You"
FRANKLYMYDEER	Buck's candid conversation opener?
TERCEL	Onetime Toyota model
ATTIRE	Outfit
ANNE	Mrs. Shakespeare
IAGO	Shakespearean schemer
DRAG	Bummer
ARRET	Stop overseas
NOTFORTHEWEEKOFHEART	Inappropriate on a honeymoon?
OFFAIR	Like some TV interviewers' questions
WALES	Land with a red dragon on its flag
FILEDIN	Entered, as a classroom
USERFEE	Parkgoer's charge
ASSISI	Italian home of the Basilica of San Francesco
NCIS	Mark Harmon action drama
SSN	W-2 datum: Abbr.
AFC	One side in the Pro Bowl: Abbr.
SILTS	Some bank deposits
SCORED	Made it home safely
ITSOK	"There there"
LOCKERS	Health club lineup
ODIE	Dog in a cat comic
CAL	Nev. neighbor
AROMATICTEE	Item at a golf boutique?
ATOP	On
ROVE	Go all over
OMAN	Yemen neighbor
IMPEND	Loom
FREDALLEN	"Imitation is the sincerest form of television" quipster
FEASTS	Dinners likely to have leftovers
REDOS	Some major changes
TOMEI	"Before the Devil Knows You're Dead" actress
MOSS	Shade of green
SEEDILY	With a run-down look
SOANDSO	Scoundrel
OVA	Sperm targets
REPRO	Camera-ready page
EPEES	Alternatives to foils
ROADIE	Microphone tester, perhaps
REELECT	Send back to the Hill, say
MANX	Stub-tailed cat
ALOP	Crooked
NARA	Former Japanese capital
XRAY	Airport security measure
PENH	Phnom ___
HAMBURGERMEET	Dating service in a northern German city?
PEEKSEASON	Summer next door to the nudist camp?
SCALERS	Dental hygienists, at times
MYLAR	Solar sails material
MASC	Pronoun designation: Abbr.
AMEND	Set right
MIEN	Bearing
CENTS	Things often put in in twos
ZADORA	"Butterfly" actress, 1981
ZAIRE	1990s war locale
STYMIED	Hampered
SPRY	Agile, for a senior
TRES	Los ___ Reyes Magos
YORE	Days of old
BALDS	Develops an open spot?
BLEATS	Flock sounds
BASEPAY	Datum on an employment contract
BLAISE	Mathematician Pascal
PROBES	Some space missions
ALLES	Über ___ (above everything: Ger.)
ALGER	Rags-to-riches author Horatio
ALICE	"Falstaff" soprano
ALBUMS	iPod heading
RERUN	Late-late-night offering
FLEECOLLAR	What a pursued perp might do?
FORESEE	Divine
LOOIE	Sarge's superior
RANI	Eastern noble
ALEE	Direction at sea
NOSE	Narrow margin
INTL	Like many conglomerates: Abbr.
YSER	River deliberately flooded in W.W. I
BOGART	Frequent gangster portrayer
BREE	One of the housewives on "Desperate Housewives"
OBIES	Annual awards announced in New York's East Village
SHORTU	Thumb's middle?
LON	Chaney of "The Phantom of the Opera"
GARRETS	Struggling artists' places
ALI	2001 biopic
SOUS	___-chef
STINT	Be sparing
HTEST	Explosive event of '54
THEFIRM	John Grisham best seller
CAMELEERS	Desert drivers
CIG	Smoke
AVERSE	Disinclined
MORELS	Gourmet mushrooms
ATIMETOHEEL	The point when Fido's master starts walking?
ATONED	Made up (for)
TORQUE	It's measured in pound-feet
IVORIES	They may be tickled
STIES	Filthy quarters
STOKE	Feed
ORE	Mountain treasure
GERM	Idea's start
EASTON	City near Bethlehem
ANTS	Line at a picnic?
SDAK	Neb. neighbor
ARTFORM	Film or sculpture
ATOM	Accelerated bit
OCTO	Prefix with mom
RHEO	Current: Prefix
MESS	Quagmire
REELMENDONTEATQUICHE	Bit of advice when packing anglers' lunches?
LEO	"The West Wing" chief of staff ___ McGarry
MTS	McKinley and Washington: Abbr.
ETC	And other things: Abbr.
AHA	"So that's it!"
SLEET	Possible flight delayer
TAKE	Proceeds
THOU	Grand
RTES	Itinerary segments: Abbr.
ESTOS	These, in Madrid
SKED	Convention handout, for short
CAME	Showed
MOOS	Lows
