ISLAM	Five Pillars of ___
ITCH	Result of a flea, maybe
SHOO	"Get lost!"
LULL	Break in the action
ADDEDON	Appended
MSS	Ed.'s pile
CHAW	Tobacco wad
CHOSE	Picked out
HAWK	Dove's opposite
ALEE	Downwind, at sea
WORDGAME	Scrabble or Boggle
VEEP	Prez's backup
VLASIC	Pickle brand
EISENHOWER	President whose grandson wed a president's daughter
EVICT	Kick out
PESTO	Trattoria topping
THUDS	Impact sounds
HALO	Heavenly circle
LIVE	Not prerecorded
COLDSHOWER	It may bring you back to reality
HALT	Sentry's command
ASIS	Warts and all
HOLE	Pail problem
ASKED	Queried
SECT	Splinter group
DALE	Cowgirl Evans
AUDIBLE	Loud enough to hear
GOINTO	Enter
ONORDER	Coming
BOWOUT	Exit
BBLS	OPEC units: Abbr.
OLIN	Lena of "Havana"
WALLFLOWER	Nonmixer at a mixer
BRANCH	Not the main office
BLOTS	Ink stains
ROWS	Column crossers
BLAND	Opposite of spicy
SLOMO	Replay option
SPAN	Go over
OPA	___-Locka, Fla.
PEEL	Part of a lemon
ABBY	"Dear" advice-giver
LIL	Diamond ___
INPOWER	Running things
NEONSIGN	Advertising lure
WEB	Part of WWW
SNL	NBC weekend comedy, briefly
BEATS	Thoroughly thumps
DWEEB	Nerd
WARZONE	Combat area
FELONS	Lifers, e.g.
ELYSEE	Parisian palace
PEARLY	Like heaven's gates
PUNY	Undersized
POLLEN	Bee's bundle
PATCH	Antismoking aid
OHARA	Scarlett of Tara
PURR	Say coquettishly
PERSE	Inherently
AHOY	Sailor's hail
SIREN	Warning wail
IVEY	Actress Judith
ROTS	Goes bad
ZERO	Nada
EWER	Water pitcher
REAR	Spot for a spanking
ORLY	Air France locale
TAWS	Fancy marbles
IVORYTOWER	Academic enclave
TOM	Barnyard male
CREE	Algonquian language
GETS	Understands
ONEAL	Laker star Shaquille
HARE	Aesop's also-ran
NYSE	Big Board initials
MERRY	Full of good cheer
