GONZOJOURNALISM	Writing that lacks objectivity
GTBR	Member of the Allies in W.W. II: Abbr.
OHED	Expressed surprise
NATS	R.F.K. Stadium team, briefly
ZIT	Proactiv target, informally
ORESTEIA	Aeschylus trilogy
JERRYRICE	Legendary 49ers receiver
OSGOOD	Charles of CBS News
UTE	Uintah and Ouray Reservation inhabitant
RATA	Madrid maze-runner
NUMBS	Ices, maybe
AROMAS	Bakery output
LAV	John
INIS	"Last one ___ …"
STNS	Boarding places: Abbr.
MSGR	Religious title: Abbr.
THAIRESTAURANTS	Purveyors of spicy cuisine
BETTERGETMOVING	"Hurry, you'll be late"
RDS	Tpks.
SRO	Full house sign
ABM	Patriot, e.g.: Abbr.
SSR	Old map abbr.
ATYOU	"Look ___!"
ATISKET	Start of an Ella Fitzgerald standard
UAR	Old map abbr.
SAW	One going back and forth to work
WHOISIT	Reply to "The phone's for you"
FOSTERDAD	Replacement raiser
FATWA	Mullah's decree
OCHER	Fall shade
STEEL	Composition of some nerves?
DOO	Ski-___
SHEDS	Loses
EBSEN	"The Other Side of Oz" autobiographer
DETAT	Coup follower
SYSTS	Ways: Abbr.
ACTIII	When Nora leaves Torvald in "A Doll's House"
ROI	Man wearing une couronne
IBUPROFEN	Osteoarthritis treatment
OBEY	Follow
THESACK	It's often hit at night
KOP	Silent lawman?
OBOISTS	Musicians whom orchestras tune up to
ONRECORD	Public
WEEK	Work unit
EOS	Daughter of Hyperion
SAC	It might be filled with ink
UNSEAT	Beat in November, perhaps
ARLES	It's on the Rhone delta
SEENIN	Like guests at home
PAWPRINTS	Some tracks
WASHME	Message on a dirty car
TEA	Kind of cart
ALOAD	Tons
CARET	Sticking point?
TDS	Elicitors of little dances, briefly
THIS	"I'm pointing at it"
DOTE	Act feeblemindedly
STAC	Disconnected, in mus.
ELL	Wing
LUNA	Large moth
SOC	Alternative to Rep. or Dem.
NRA	67-Across citers: Abbr.
NYCE	Inits. on many A.T.M.'s
ROAN	Sheepskin leather
AUNT	Volunteer babysitter, maybe
HOTENOUGHFORYOU	August comment
ELO	Inits. in 70's-80's rock
GAM	Leg that gets whistled at
RIM	Net holder
ITALIANAMERICAN	Like Scorsese, but not Fellini
SECONDAMENDMENT	It begins "A well regulated Militia …"
