ICBM	Warhead weapon, briefly
IMPLIES	Hints at
COLONEL	Cavalry V.I.P.
BRAVELY	With courage
MEYERS	Ari of "Kate & Allie"
TAMEST	Like the kiddie rides at a park, relatively speaking
TODO	Heading on a list of errands
APE	King Kong, e.g.
MELROSE	"Place" name on TV
ENRAPT	Wholly absorbed
STEEL	Girder material
TOY	Cracker Jack bonus
SAO	___ Paulo, Brazil
STARERS	People around a 54-Across, typically
AALARGE	Egg carton spec
ODYSSEY	Amazing adventure
MORE	"Encore!"
OPENTO	Not dismissive of, as suggestions
TAD	Smidge
PLAYADELREY	Beach community near LAX
ATT	QB's pass, whether completed or not: Abbr.
ALY	Khan who wed Rita Hayworth
LOVETO	"It'd be my pleasure"
RAE	"Norma ___"
BRAS	Bikini parts
BYANY	___ means possible
INERT	Like a bump on a log
TOPLAYERS	Outermost strata
TOLD	Ratted
ASIAN	Iraqi or Thai
EELS	Lengthy lurkers of the deep
LOST	Like Bo Peep's sheep
LARA	"Tomb raider" Croft
SARGE	Beetle Bailey superior
SLY	Foxy
GALE	Air force?
GONER	One who's done for
KINSEY	2004 Liam Neeson film
KLEE	Swiss artist Paul
WORD	With 33-Across, anagrams and puns (or parts hidden in 17-, 24-, 44- and 51-Across)
WINOS	Skid row sights
PLAY	See 32-Across
PENS	Confident solvers' supply
MELINA	"Never on Sunday" star ___ Mercouri
MANATEE	Animal on a Florida license plate
ELEGANT	Tastefully beautiful
LOWERED	Revised downward
PEEN	Hammer part
PERUSER	Reader
RAG	Dipstick wipe, often
RATTRAP	Seedy stopover
ARIADNE	She helped Theseus escape the labyrinth
GLOSSED	Smoothed (over)
ALONE	Sans friends
RENE	Philosopher Descartes
RESOLD	Auctioned again
CARL	Psychologist Jung
CAROLS	Holiday music
NEWORDERS	Soldier's reassignment papers
DARIN	"Splish Splash" singer, 1958
PATIO	Backyard party spot
POW	Impact sound
AGES	Who-knows-how-long
ASU	Tempe sch.
AORTAS	Main arteries
ASPS	Nile snakes
TAR	Surfacing stuff
CROSSSWORDS	Duel (with)
CPA	Tax prep. expert
SUE	"So ___ me!"
ENE	Pittsburgh-to-Boston dir.
PILEUP	Multicar accident
LANE	Highway division
ETD	Takeoff stat: Abbr.
ANDRES	Guitarist Segovia
SPED	Went like the wind
