NIPPON	Hirohito's homeland
NAPA	California wine valley
ILLUS	Picture: Abbr.
PLATO	Dialogue writer
PUSHIEST	Most insistent
ORMOLUS	Goldlike alloys
NEARER	More to the point?
ZAP	Sound of a lightning bolt
ZASU	Pitts of old films
ABET	Aid's partner
PITHIEST	Most succinct
FAIL	Come to naught
FAIRER	Less overcast
ANG	"The Ice Storm" director Lee
ICH	German pronoun
LET	Chartered
ALLURE	Magnetism
ABIDANCE	Patient waiting
DROGUE	Device to keep a ship from drifting
PLASMA	Emergency supply
SETRIGHT	Fix
AUTHORAUTHOR	1982 movie starring Al Pacino as a playwright
ADOPTER	Parent-by-choice, of sorts
SOILED	Dirty
IGETA	"___ Kick Out of You"
TOWEL	Gym handout
APACE	Rapidly
EUROPAEUROPA	1991 Holocaust film
PARLE	"Je ___ français"
ASUSUAL	Not surprisingly
ARTY	Like some SoHo parties
TRESS	Lock
TBAR	Lift for two
RENEW	Not let lapse
ENNUI	World-weariness
PASSE	No longer done
WAR	Word before cry or baby
BENT	Propensity
STRUT	Walk proudly
SANDCRAB	Oceanside scuttler
SECT	Faction within a faith
SINECURE	Figurehead's office
ANN	The Beach Boys' "Barbara ___"
GAELS	Highlanders
GELATI	Desserts at Luigi's
RILEY	Life of ___
REGALES	Grandly entertains
REUBENREUBEN	1983 cinematic study of a Scottish poet
BERETS	Beatnik toppers
BURBOT	Freshwater cod
WIELD	Exercise
AUGERS	Boring things
RHETT	Butler from Charleston
SELES	Yugoslavian-born tennis ace
RACHELRACHEL	1968 Joanne Woodward film directed by Paul Newman
HATE	Venom
EPEE	Three-sided sword
LYRE	Epic poet's prop
FIRETRAP	Building that may be about to go up?
FIT	Tailoring job
INK	Squid's squirt
RIO	"Flying Down to ___"
BLUELY	With sadness
INITIATE	Launch
OERTER	Discus champ Al
TKOS	Ring decisions, for short
BEE	Comb maker
TSETSE	African pest
