ENABLES	Qualifies
ETICKET	Air travel expediter
NOMINEE	Runner
ANACONDA	Wrapper that's hard to take off
BEGETS	Sires
LAIRS	Retreats
ERNO	Composer Dohnányi
SMA	Tiny, in Scotland
TIECLIP	It prevents flapping in the wind
TOYCAR	Matchbox product
INFOR	Awaiting
EARL	___ of Salisbury
CDI	Old turn-of-century year
LIEDER	German songs
IMNEXT	"Hey, buddy! You're not the head of the line!"
PEDWAY	Enclosed urban walker's route
TONEARM	Track follower
ONADIME	Instantly, so it's said
IMAGINARYFRIEND	Playmate for the lonely
REZAPAHLAVI	Shah of Iran, 1941-79
CICERO	He originated the phrase "While there's life, there's hope"
ECOL	"Earth in the Balance" subj.
DEW	"Enjoy the honey-heavy ___ of slumber": Shak.
KNOTS	Sailor's speed
CZAR	Head boss
CHER	Singer with top 10 hits in the 1960's, 70's, 80's and 90's
HEXA	Prefix with -hedron
HOAR	Frost
EENS	Poetic times of day
THAR	Dialectal direction
TETE	Béret site
FORTY	Milestone birthday
FIAT	It's the law
TED	Cologne maker ___ Lapidus
VEEP	Number two
VSOP	Letters on a brandy bottle
GIA	Actress Scala
GTOS	Motor Trend's 1968 Cars of the Year
ABSTRACTART	Willem de Kooning's field
BTUS	A/C units
CORN	Unwanted 35-Across feature
TOLERATE	Bear
TOE	Kicker?
HOOT	Laugh riot
ORT	Table scrap
RENEGES	Doesn't follow through
TOSSERS	Horseshoes players
LEDUP	Introduced, with "to"
LEAFED	Paged
EXHALE	Release tension, in a way
DEANNA	Durbin of old films
SLRS	Some cameras, for short
SORTER	Photocopier part
CLEO	Claudette Colbert title role, in brief
CRAYON	Colorer
EXES	Splitsville parties
MOAN	Openly grieve
MISTI	Peru's El ___ volcano
WRENS	Melodious singers
WHOME	Startled response to an accusation
AHA	"Now you're making sense!"
MIRV	Part of the U.S. nuclear arsenal
MARS	___ rover
SHARES	Half and half, maybe
SVEN	Cinematographer Nykvist
FANTASTICVOYAGE	1966 sci-fi thriller
TOR	Windswept spot
CRO	___-Magnon
ELNORTE	The United States, to Mexicans
REMOTER	Not so likely
DEARSIR	Formal introduction?
ONENESS	Unity
