YIPS	Puppies' plaints
YAKOV	Comic Smirnoff
IRANI	Tehran denizen
PITTS	Actress ZaSu
SAYHI	Greet cordially
LEEJ	Cobb of "12 Angry Men"
LOGGER	Paul Bunyan, e.g.
EBRO	River of Spain
ELAL	Mideast airline
JAFFA	Port of Israel
GLARE	Icy look
GOSOFT	Treat leniently, with "on"
LOQUACITY	Talkativeness
AZUR	France's Côte d'___
REAS	Actor Stephen and kin
ESTE	Renaissance family name
ARIA	Oratorio highlight
OBLA	Di or da preceder in a Beatles song
OOZES	Moves like sludge
KATY	"What ___ Did" (classic children's book with a punny title)
GRAF	___ Spee (old German warship)
SQUAT	Catcher's position
ONTHEGOLFCOURSE	Enjoying an outing, of sorts
ENLAI	China's Zhou ___
CLANG	Trolley sound
VISINE	"Gets the red out" sloganeer
ALFA	Italian auto, for short
LRON	Scientology founder ___ Hubbard
OLGA	Gymnast Korbut
NOEND	Ad infinitum
ATCOST	For no profit
ONEI	"The ___ Love" (R.E.M. hit)
STEN	British W.W. II-era gun
TONG	Chinatown gang
SELMA	Sister of Marge Simpson
SPAR	Exchange jabs
ELLA	Former Connecticut governor Grasso
LAUD	Speak well of
MYMISTAKE	"I can't blame anyone else"
LORN	Forsaken
RIGA	Latvia's capital
INTO	Get ___ the habit
PLAYINGEIGHTEEN	Enjoying an outing, of sorts
NYLON	Fishing line material
HEGEL	Georg who wrote "The Philosophy of Right"
ALUM	Homecoming figure, for short
YANG	Yin's counterpart
EYING	Checking out
RADIAL	Michelin offering
ALINED	Trued up
DAWG	Flagston family pet
WRENCH	Twist badly
SLOE	Gin flavoring
EGRET	Everglades wader
REVISE	Edit
VILLA	Home overlooking the sea, maybe
INOIL	How some tuna is packed
SKILL	Dexterity
ESSAY	Lamb or Bacon piece
HITTINGTHELINKS	Enjoying an outing, of sorts
HASH	___ browns (diner fare)
ISTO	Analogy part
TIAS	Havana aunts
TAXI	Kind of stand
HIES	Doesn't dally
ASIAN	Like wild tigers
RAIN	Drought relief
LOIS	Hi Flagston's wife, in the comics
STAKE	Garden plant support
EXEC	One hired by a corp. board
LILA	McCann of country music
HOSED	Cheated, slangily
TISH	One of "The Addams Family," informally
ALLY	Comrade in arms
