BABE	One "in the woods"
BAMBI	Disney fawn
AVOIR	To have, to Henri
BOOZEHOUND	Tippler
END	Remnant
BSA	Troop group: Abbr.
BUNGEE	___ jumping
SITS	Plops down
ALE	Ballantine product
BLIP	Tiny light that's here and gone
BAUHAUS	German design school founded in 1919
LIST	Grocery shopper's aid
IDEA	It's a thought
PARR	Catherine ___, last wife of Henry VIII
AVON	Classic door-to-door marketer
BUILT	Manufactured
BEASTOFBURDEN	Donkey, for one
TRICKQUESTION	"How many months have 28 days?," e.g.
AIDA	Radames's love, in opera
MOOD	Something that swings
ENTER	Keyboard key
USER	Manual reader
BIZ	Show ___
GAGS	Stand-up comic's material
GUSTO	Zest
ISHTAR	Film bomb of 1987
SLR	Professional's camera, for short
IREFUSE	"You can't make me!"
FAT	Too heavy
UCLA	Sch. with home games at Pauley Pavilion
UNDO	Cancel
HASTE	Speediness
NKRUMAH	Kwame ___, advocate of pan-Africanism and the first P.M. of Ghana
MACHINEGUN	Rat-a-tat-tat weapon
ALOT	Very much
HENS	Chickens that come home to roost
BLOTTO	Stewed to the gills
BLVD	Hollywood or Sunset: Abbr.
LIEU	Place
PDQ	Pronto
PHD	Third degree?
SALE	Half-off event
LIU	Lucy of "Kill Bill"
OFFHOUR	Period of low activity
FOPS	Dandy sorts
RICHE	Nouveau ___
CON	Bamboozle
VEND	Sell
DEADPAN	Expressionless
BOD	Buff thing
EIGHTS	Figure-skating figures
GIA	Scala of "The Guns of Navarone"
DUDEDUP	Dressed to the nines
DIE	Fizzle
ASCII	Computer data acronym
AERIAL	Formerly common rooftop sight
AIRS	Makes public
ETHANOL	Gasoline additive
OXIDE	Water or rust
LENDS	Makes advances?
LOADED	What 3-, 13-, 14- and 28-Down may be
LYRE	Instrument in ancient Greek art
OEIL	Trompe l'___
ALTA	Utah ski resort
BRIE	Soft white cheese
BELT	Big swig
EXE	Program file-name extension
YELP	Puppy's plaint
EIEIO	Farm letters?
IOS	Cyclades island
AGIN	Votin' no on
AMO	___, amas, amat ...
RITA	Poet laureate Dove
NOLAN	Ryan in Cooperstown
MUDD	Newsman Roger
ELAN	Pizazz
STL	The Cards, on scoreboards
ONES	Low ratings
