YARDS	Lots of feet
YAM	Thanksgiving serving
ALAR	1989 E.P.A. target
RENO	City at the foot of the Sierra Nevadas
DRILLS	Fire safety activities
STALE	Old hat
ARFS	Pound sounds
APER	Impersonator
ROTC	Campus soldiers: Abbr.
FSTOPS	Lens settings
SHEAR	Wind danger
SHOT	Completely worn out
SCOTFREE	Way to get off
HOPE	Chance for success
OVER	Kaput
TEN	Beauty mark?
ALERT	Heads up
POSH	Luxurious
COVE	Shoreline shelter
MANIA	Excessive excitement
ETTE	Suffix with fleur
OPEN	Tourney type
ROLLERCOASTER	Amusement park scream provoker
EATIN	Stay home for supper
SOUGHT	Looked high and low for
LEA	Actress Thompson of "Back to the Future"
PROF	Figure at State U
PALS	People to hang with
POLES	See 41-Down
ADORE	Esteem to the extreme
LEARN	Live's partner
TESS	Hardy heroine
ENG	Part of the U.K.: Abbr.
SKORT	Modern hybrid garment for women
URALS	The Trans-Siberian Railroad crosses them
ANJOU	Pear variety
LOOSE	Kind of change
SABER	Cavalry weapon
ODE	Tribute, of sorts
OINK	Babe's sound
OILRIG	Offshore sight
GENOA	Kind of salami
LOAFINGONTHEJOB	Goldbricking
FOOTNOTE	Certain explanation
NIA	Actress Peeples
TOTEM	With 25-Down, sights in some Indian villages
ERROL	Flynn with dashing roles
RIOT	Celebration that gets out of hand
OSE	Sugar suffix
SENOR	Hombre's title
STAT	Magazine photo, for short
STEREO	Sound system
CUER	Line feeder
CRISES	Calamities
TILT	Full ___
LEAPT	Sprang
EAR	Place for a stud
APPLE	Mac maker
BUNGEEJUMPING	Thrill-seeker's activity
BOXY	Like many 80's cars
UNIT	Troop group
JETS	New York team
USES	Swiss army knives have lots of them
NAGS	Bothers
GLUE	Stick together
NONO	Jaywalking, e.g.
NEB	Kan. neighbor
ARES	Father of Phobos
PSALM	Service song?
MPS	AWOL chasers
EXIT	Where to get off
PETE	Red Rose, once
LEGUP	Advantage
BYTE	It doesn't take long to process
TOSS	Sleep restlessly
ESSES	Snake paths
