AFRO	60's do
ABC	"N.Y.P.D. Blue" network
FLU	Winter woe
ROB	Rip off
OBSCENE	Really awful
NEAT	"Cool!"
NAOMI	One of the Judds
ERUPTS	Blows one's top
ALTO	Kind of clef
TOSS	Not sleep peacefully
ASCOT	Tie at a derby?
ASTRO	Houston player
SOY	Sauce source
CALFMUSCLES	Baby moose movers?
OPERAS	Met productions
TYRANT	Tough boss to work for
BLOB	1958 chiller, with "The"
ARLO	Singer Guthrie
SOAPY	Melodramatic
CUBSCOUTS	Baby bear reconnoiterers?
COS	Comedian Bill, informally
TYLER	President before Polk
COMPOSER	Person of note?
ENSIGN	Naval Academy grad
FRA	___ Diavolo (seafood sauce)
FAKESIT	Puts on an act
FORD	Escort company
ALOE	Mother Nature's burn balm
KIDBROTHERS	Baby goat siblings?
NORMAN	Conqueror of England, 1066
RON	"Apollo 13" director Howard
OLIN	Actress Lena
SPAS	Resorts of sorts
PABST	Blue Ribbon maker
ALA	In the style of
OUST	Give the heave-ho
RODEOS	Cowpoke competitions
OKS	Green-lights
SIERRA	Environmentalists' club name
ALIENS	Klingons and Vulcans
ESO	That, to Tomás
DEB	Coming-out party?
KITBAGS	Baby fox carriers?
TRA	Caroler's syllable
CPA	Form filer, for short
PEAT	Marsh material
ASKS	Questions
RISERS	Platforms
ITT	___ Industries (defense contractor)
NOBLES	Lords and ladies
BLEEPED	Censored
SCOT	Dundee denizen
SHADED	Protected from the sun
CICERO	"O tempora! O mores!" orator
RATS	Charlie Brown expletive
SPLICE	Piece together, as tape
LEAK	Security concern
HITTER	Player who's good with a bat
EWERS	Water servers
PRIESTS	Bishops' subordinates
RACED	Sped
INK	Press coverage
ACH	German cry
WARPLANE	B-52, e.g.
RCMP	Dudley Do-Right's org.
PHIL	Pop singer Collins
DEERE	Caterpillar competitor
ROE	Seafood delicacy
CHICKPEAS	Baby bird vegetables?
ELI	Actor Wallach
AIL	Be laid up
SAL	Mule of song
ERROR	Boo-boo
MICE	Computer clickers
ELIA	Oscar winner Kazan
DOSES	Medicine measures
PLED	Said "not guilty," e.g.
DILL	It's in a pickle
