BATES	Infamous motel of film
BOBBY	Coventry cop
AZURE	Fair-weather hue
TAGUP	Touch base after a fly-out
ERGS	Joule fractions
SKYHOOK	Abdul-Jabbar's trademark shot
ENOS	Son of Seth
ELIOT	Silas Marner's creator
NODUH	Slangy "That's obvious!"
OVER	___ easy
SEETHRU	Like a sheer nightie
CARB	Dual-___ engine
CAGEY	Cautious, as a reply
ALIT	Touched down
ROSH	___ Hashanah
BUT	With 57-Down, possible response to 20-, 31- or 39-Across
OZARK	"___ Jubilee," weekly 1950s country music program on ABC
LOVE	Serenader's subject
ALOU	Baseball family name
BUGGY	Amish conveyance
IDEE	___ fixe
GIST	Main point
BRUSHYOURTEETH	Parental order #1
YALU	River to Korea Bay
EWER	Vessel by a basin
YEP	"Darn tootin'!"
OATH	Inauguration Day words
HWY	Rte. 66, e.g.
AOL	Co. split off from Time Warner in 2009
ACTO	Part of a Spanish play
DRE	Dr. with several Grammys
DORM	All-nighter site, perhaps
BEA	Actress Benaderet of "Petticoat Junction"
BOAR	Wild tusker
EYCK	Flemish painter Jan van ___
ASK	"Fire away!"
PICKUPYOURTOYS	Parental order #2
POOP	Inside dope
ILYA	Kovalchuk of the N.H.L.
POHL	Science fiction writer Frederik
YAO	7'6" N.B.A. star
TRON	1982 Disney cybermovie
COLT	Stallion-to-be
CDS	Some Amazon.com mdse.
OAR	Sculler's need
RACK	___ of lamb
DOYOURHOMEWORK	Parental order #3
USNA	Alma mater for Adm. Richard Byrd: Abbr.
REQUITE	Give in return
EDYS	"Slow Churned" brand
WIZARDS	Some Hogwarts students
SPA	Place for a mudbath
SEL	Seasoning for pommes frites
DIN	Hubbub
INQ	Govt. investigation
ICERS	Patisserie artisans
JAYZ	Rapper with the #1 hit "Empire State of Mind"
JEANE	Astrologer Dixon
AILED	Felt green around the gills
AIR	Put on
ADWAR	Exchange of TV smears, maybe
ISERE	River of Grenoble
ROLFE	John who loved Pocahontas
BECAUSEISAIDSO	Reply to the question in 13- and 57-Down
BEAU	Steady guy
ERIK	Estrada of "CHiPs"
STYX	Charon's river
IOWA	Where James T. Kirk was born and raised
WERE	"___ #1!"
WHY	See 13-Down
ITAL	Emphatic type: Abbr.
ROWEL	Wheel on a spur
HAIR	"Flower power" musical
TYNE	Newcastle upon ___, England
DWARF	One of a Disney septet
YUKS	Big laughs
EXED	Marked, in a way
SAREE	Ranee's wrap
