GRAPE	Vineyard fruit
GAB	Go on and on
RTE	Hwy.
ALA	Pie ___ mode
PATTI	Page who sang "How much is that doggie in the window?"
ESTATES	Fancy homes
LASTS	Goes on and on
LEE	Director Spike
ASHE	Queens's ___ Stadium
STEAD	It precedes fast and follows farm
TEASES	Coquettes
SETTLES	Takes up residence (in)
WAN	Pale
WALKTHETALK	Live up to one's word
ABBIE	Hoffman who wrote "Steal This Book"
NESTS	Hatching posts?
ATLAS	Rand McNally product
ESTEE	Cosmetician Lauder
ABE	Pres. Lincoln
BEATTHEHEAT	Enjoy summer air-conditioning, say
HUBRIS	Arrogance
LBS	Dieters' units: Abbr.
TAU	Sigma's follower
EAST	Right on a map
KIT	Frontiersman Carson
LETITBE	1970 Beatles chart-topper
LAIRS	Lions' dens
ENNUI	The blahs
TAKETHECAKE	Top everything else
EAGLE	Birdie beater
DELETES	Strikes out
ETTU	"___, Brute?"
ANA	Santa ___, Calif.
ERAS	Cenozoic and Paleozoic
SHALL	"I ___ return"
SETH	Brother of Cain and Abel
INK	Squid's squirt
SIGHS	"Alas" and "alack"
STAID	Not flighty
STEMS	Thorns' places
MARIE	One of the Osmonds
SHADY	Disreputable
RUED	Felt bad about
DUOS	Chad & Jeremy and others
SLATE	Party list
ENMESH	Catch, as in a net
UTAH	The Beehive State
SITUP	Exercise for the abs
PROFFER	Suggest, as a deal
ELAND	African antelope
DEBEERS	Big name in diamonds
ARA	Southern constellation
HORS	___ d'oeuvre
SALINE	Like ocean water
LIME	Green shade
LID	Can topper
PRESOAK	Washing machine cycle
PLOTZ	Fall over in a faint
RINSO	Classic laundry detergent
KILLS	Spikes, in volleyball
DEBAKEY	Surgeon who pioneered the artificial human heart implant
ATBAT	Up, in baseball
LIC	Driver's need: Abbr.
FLIP	Gymnast's feat
PLAT	Surveyor's map
SET	Film locale
ONA	"Put ___ Happy Face"
FILLTHEBILL	Be entirely satisfactory
TIS	"___ the season ..."
IDO	Altar vow
LIU	Lucy of "Charlie's Angels," 2000
LOT	Auction grouping
TSK	"For shame!"
ENLAI	Former Chinese premier Zhou ___
RADIO	Walkie-talkie
ZOE	Actress Caldwell
RESTS	Breathers
STOUT	Guinness, e.g.
