JUNKDRAWER	Keeper of unclassified material
JUDITH	Book of the Apocrypha
URANIA	Sister of Calliope
NAVIES	Fleet runners
KNIT	Word with close or hand
DID	Impersonated
RUBBEDITIN	Said "nyah, nyah, nyah"
AMORE	A many-splendored thing in Italy?
WOWEDEM	Performed spectacularly, informally
ERIE	Gannon University city
REED	Swamp thing
BALD	Having no overhead?
BURIED	Well out of sight
ASISEEIT	Opinion opener
LEFTFACE	Drill directive
DRESSLER	Best Actress of 1930-31
URANIUMORE	It may be found under the counter
USER	One providing input
DAVIDBOWIE	"Labyrinth" star, 1986
RIFE	Loaded
INIT	Acronym part: Abbr.
BREED	Strain
ISTS	Adherents
TIE	Track supporter
NEED	Welfare state?
NEWSBOY	Paper provider
BEEFS	Bellyaches
BIKINIS	Tops and bottoms
HASPED	Secured, as a gate
PSI	Kind of phenomena
EGOIDEAL	Personal standards one aspires to
GABS	Confabulates
OSLONORWAY	Where Sonja Henie was born
SWIMMASK	Flippers accompaniment
MERE	Just
ICE	Hotel freebie
MODISTE	Fashionable dressmaker
MARSHGAS	Ignis fatuus source
ONEPIECE	Unlike 24-Down
DIALTONE	It may follow a click
BLISTER	Really rebuke
SGT	Driller: Abbr.
ANI	Hangman choice
BIRDSONG	Call of the wild?
DRIVELS	Talks nonsense
REASONER	Mr. Spock, notably
SASSED	Gave grief
NITERS	Explosive ingredients
EVOKES	Calls up
RIPEST	At the peak of maturity
SPADES	Some kings
SPLAY	Expand
IDOS	Sometimes-broken promises
DARLA	Child actress Hood
VIP	Kind of treatment
HITS	Angels' dreams
LEVAR	Actor Burton
LODE	Glittering vein
EVES	Lead-in periods
COPA	Manilow song setting
CREE	Early buffalo hunters
GEOS	1980's-90's cars
OVERWORKED	Done to death
ORT	Leaving
ACNE	Teen spots?
DELLAREESE	TV angel portrayer
SEED	Core component
ESSAYTESTS	School administrations
