MACH	Supersonic unit
MOPUP	Finish
ADORE	Be nuts about
CELLO	String quartet member
HAL	Lyricist David
SAVES	Goalie's stat
SIXPACK	Beer buy
ARBS	Wall St. figures
VEE	Skein formation
ENAMOR	Captivate
SENATOR	One serving a long term
AFRO	Frizzy do
ARIA	Met highlight
FANG	Part of the mouth of a cottonmouth
RITE	Liturgy
ODOR	Something in the air
ODEA	Old Greek theaters
IRENE	One of the Horae
RAID	Speakeasy risk
POLLUXBEAN	Look-alike of a source of oil?
UPIN	___ arms
INTO	Concerned with
URL	WWW address
PPS	Second ltr. addendum
MANAGER	Dugout V.I.P.
NEMEA	Where Hercules slew the lion
PEORIA	Place to play?
RUSTIC	Country
DOTE	Overdo the T.L.C.
DERANGE	Send over the edge
UNCLEROMULUS	Spitting image of a children's storybook character?
LIZ	Dick's mate, twice
UPSIDE	Positive aspect
LOON	Crackpot
URNS	Buffet dispensers
STET	Mark in the margin
ASKS	Grills or pumps
AMEN	Prayer period?
SAGE	Learned
KNOW	Have down cold
KIR	Wine-and-cassis drink
REPORT	School assignment
MANTA	Devilfish
ASHEN	Beyond the pale?
ZAP	Microwave
POL	Patronage purveyor, for short
ASONE	Together
EGOISM	Self-interest doctrine
MARKETS	Sells
NOR	Easter preceder
RAMESES	One of 11 kings of Egypt
INST	Part of M.I.T.: Abbr.
NEWCHANGLAND	Exact replica of six Northeastern states?
NISSAN	Stanza maker
NERF	___ ball (spongy plaything)
ERIE	1813 battle site
MEEKER	Less assertive
KLEIN	Anne of fashion
EELED	Sniggled
REDDY	Helen who sang "Angie Baby"
DEBUNKS	Shoots down
DOJO	Self-defense school
EVER	At any point
BESS	Porgy's woman
UNTO	Biblical preposition
PER	In accordance with
PULP	Papermaking material
LEE	Historic Virginian
OVEN	Tandoor, e.g.
ESAUSFIELD	Carbon copy of a Cleveland ballpark?
ABA	Group an atty. gen. might address
ITA	Give-go go-between
JEST	Witty remark
TABLE	Contents list
TIED	Drawn
ORSO	Maybe more, maybe less
SNAPS	Loses it
ANDY	"Handy" one
