AMASS	Gather
AHS	Cries at fireworks
MAW	Gaping mouth
AVE	Caesar's hello
SOAPUP	Get all sudsy
SCRIMPS	Is frugal
BRAG	Talk glowingly about one's children, e.g.
BLOT	Rorschach presentation
RIPE	Like a yellow banana
AMTRAC	Military vehicle for landing assault troops
GOSPEL	Absolute truth
ISMS	Doctrines, informally
ISOTOPES	Some are radioactive
SPOTS	Leopard features
MINEO	Sal of "Exodus"
SNARL	Guard dog's greeting
HAVOC	Devastation
LIMO	Prom night transportation
SPIN	Twirl
SWEAR	Say four-letter words
OPTS	Makes choices
OONA	Mrs. Chaplin
PITTERPATTER	The rain goes ___
TEEUP	Prepare to hit a golf ball
ARON	Elvis's middle name
PLUME	Feather
PLAIT	Braid
LIFER	Inmate who's never getting out
AEROSOL	Spray can
CLIPPETYCLOP	The horse goes ___
COPS	The finest
TMI	1979 nuclear accident site: Abbr.
YOKED	Like oxen pulling a plow
OAF	Blockhead
SUMO	Kind of wrestling
NERDY	Socially challenged
RERIG	Hook up again
DRONE	Pilotless plane
YANG	Yin's partner
PIES	Desserts with crusts
SEDIMENT	Lees
PIKER	Cheapskate
ELO	"Xanadu" rock group, for short
RINSE	Get the suds off
SERA	Red Cross supplies
STREP	Throat ailment
PITA	Sandwich bread
ELIA	Film director Kazan
AGAINST	Anti
RON	Ely of Tarzan fame
DINGDONGDING	The church bells go ___
NETHER	Lower
GROOVE	Phonograph needle's place
DRAINS	Sink outlets
JUPITER	It's between Mars and Saturn
JONES	Tommy Lee or James Earl
UNITY	Agreement
POLOS	Pullover shirts
SARGE	Military barker
ONOMATOPOEIA	20-, 26- or 46-Across, e.g.
PAIL	Mop's companion
ORLY	Alternative to Charles de Gaulle
NILE	"Blue" or "White" river
HOAR	Frost
NIMOY	Mr. Spock portrayer
MEA	"Culpa" starter
ORR	Hockey's Bobby
YDS	QB's gains: Abbr.
ETON	English school since 1440
EVIL	Satan's work
SNERD	Mortimer who was asked "How can you be so stupid?"
SYST	Method: Abbr.
RELY	Depend (on)
TSARS	Russian despots
