DEMISE	End
DIGS	Pad
EVILTWINS	Bad copies?
MAJORAXIS	Line that passes through both of an ellipse's foci
INAWAY	Kind of
SINEW	Strength provider
EVERLAST	Company that provided equipment for the reality show "The Contender"
ITSWAR	Battle cry
ICEDUP	Needed a coating of heated propylene glycol, say
TADA	Finish line?
SLAP	Indicator of freshness?
WASPS	With 52-Down, structure found under eaves
ATALE	"Gigantic (___ of Two Johns)," 2002 documentary about They Might Be Giants
REPEL	Turn off
IVANIV	First monarch to be crowned Tsar of All Russia
ESCALATE	Intensify
ENBERG	Original host of "Breakfast at Wimbledon"
SEAMONKEY	Pet for which you can buy an Aqua-Leash
GIJANE	1997 Demi Moore movie with the tagline "Failure is not an option"
NEEDASAP	Note on a time-sensitive document
SLOWER	Like a runner-up, often
BADAPPLE	Spoiler of a sort
TRAWL	Nab in a net
EMU	It's classified by the U.S.D.A. as red meat under cooking guidelines and as poultry under inspection standards
SEL	Poivre's counterpart
SWAY	What many rulers hold
SNAP	Spontaneous
ATROPHY	Result of nonuse
TIEDONEON	Took a lot of punches?
HOOF	Farrier's focus
YET	"Solitude is impractical and ___ society is fatal": Emerson
NIX	Veto
ESIGN	Endorse on a Web site, maybe
EASE	Maneuver gingerly
OESTE	Córdoba compass direction
STRIKEONE	Call at home
TEALEAVES	What some predictions are based on
EDNA	Housemother to Tootie, Natalie, Blair and Jo
ANIMATE	Create a flip book, say
MTM	"Lou Grant" production co.
KNOTTED	Like many bows
NOMATTER	"Whatever"
PSSTS	Secret words?
DIEOF	___ shame
INHAND	Under one's command
RAN	Entered a contest
METONYM	"The press," for "reporters," e.g.
TURBAN	Garment that's often reconstructed before each wearing
GILA	River of Yuma and Phoenix
GARLIC	Food used as an antiseptic during World War I
CST	Setting for 10 U.S. states: Abbr.
COPTO	Don't deny
SPAHN	Braves pitcher who won the 1957 Cy Young Award
TEPEE	Structure made from poles and hides
UNH	New England sch. with campuses in Durham and Manchester
AWAKE	Not dormant
WHOME	Cry from the accused
OPENAREA	Field, e.g.
NEST	See 10-Down
ALTO	Mrs. Lovett in "Sweeney Todd," for one
THREAD	Bookbinder's material
DEMS	Majority of U.S. governors, as of 2009: Abbr.
PAPELBON	Pitcher who struck out the final batter of the 2007 World Series
TOLOVE	"Lieben," in German class
THESTAND	1978 King novel rereleased in a "Complete and uncut" version in 1990
EMINEM	Winner of the 2002 Academy Award for Best Original Song
ONETON	Rig capacity
RECESS	Niche
