EQUI	Prefix with lateral
EBB	A drop in the ocean?
QUIP	Will Rogers specialty
URDU	Official language of Pakistan
ITEM	News clipping
JAMB	Frame side
JACKAL	Follower who does the dirty work
ALLIN	Bushed
MOAN	Sound stressed, maybe
BUMP	Traffic slower
SLEPT	Was in the arms of Morpheus
SPIRIT	Ghost
LOCAL	Neighborhood pub
EDIT	Ready for release
PINE	Tar source
TAG	It's game
BURT	Ward who played Robin
ALOU	Baseball family name
PODIA	Conductors' platforms
BIDE	Wait
CLAM	Symbol of uncommunicativeness
ICING	Hockey no-no
PUMPKINPIRATE	One who plunders boatloads of jack-o'-lanterns?
PRIDE	Fall preceder
INFER	Draw a conclusion
RAN	Published
NIL	Zilch
GERBIL	Pet store offering
GASES	Krypton and others
ELUDE	Not get caught by
ROPER	Rodeo specialist
BURN	Use as fuel
LIFT	Pick-me-up
LOBBY	Hotel area
IKEA	Furniture chain
SHE	___-devil
SMIRK	Show of smugness
HINGE	Pivotal point
EDGER	Trimming tool
ALOUD	One way to read
WOKE	Shook out of dreamland
WELD	Ironworker's union?
AMID	In among
ATON	Loads
SUPREMEBERATING	First-rate chastisement?
MEANT	Had in view
AGATE	Banded gemstone
EDEN	Tree of Life locale
ELBA	Destination for a ferry from Livorno
GORGE	Get stuffed
SER	Words from the Rev.
LADY	One may be in waiting
LEADEN	Heavy
TANKER	Ship of fuels
TEHRAN	Home of the Azadi Tower
PEN	"The tongue of the mind": Cervantes
PROVE	Establish as fact
SET	Stage design
STATE	Union member
ERRATICTHERED	Nickname for an unpredictable Communist?
ELBE	Hamburg's river
ROOM	Leeway
ISTO	Part of an analogy
COAX	Sweet-talk
RAGS	Car wash gear
EMIT	Shoot out
DOZE	Snooze
BLOOD	Family
BAY	Dark horse
SOAR	Skyrocket
AMOR	Love of Spain
RAT	Chinese calendar animal ... or the key to this puzzle's theme
ABOVE	Preceding on the page
TATA	"I'm off!"
GIZA	Egypt's third-largest city
YEMEN	Arab League member
OXEN	Yoked pair
STET	What "........" means to a typesetter
