VAT	Fermentation receptacle
VICTIM	Muggee, e.g.
ASHORE	Toward the beach
TRAUMA	Emotional damage
BALMS	Aromatic salves
BANDS	Cigar wraps
ATME	"Look ___!"
LEAF	Table extender
MUIR	___ Woods National Monument
SPLASH	Big media to-do
JERKY	Rough, as a car engine
JUICY	Like good oranges
ENNE	Feminine suffix
RTE	31-Down plan: Abbr.
KIP	Laotian money
YET	So far
ISR	Rabin's land: Abbr.
ATEUP	Enjoyed immensely
UNTIE	Loosen, as laces
CHAINMAIL	Long-ago battle protection
IRAN	Ayatollah's land
INEPT	Klutzy
TOURDEFRANCE	Annual July sports event with the world's largest live audience
NOTICED	Saw
IRMAS	Cookbook author Rombauer et al.
SOY	___ sauce
IDS	Co. badges
ICBM	SALT topic
DRIP	Job for a plumber
SET	Match unit
MEAN	Playing dirty tricks
OUGHT	Should, with "to"
OATMEAL	Hot bowlful
UNI	Prefix with sphere
GAMES	Pool and darts
ACRE	Part of a parcel
AAA	Driver's aid: Abbr.
NANA	"Peter Pan" dog
NEA	Big lobby in D.C.
INABIT	Shortly
NHL	Montreal is in it: Abbr.
FIVETIMECHAMP	[Prediction:] Lance Armstrong, at the end of the 2003 20-Across
FOGS	Frequent San Francisco conditions
ITIC	Related to: Suffix
VHF	Like some TV channels, briefly
EVE	Last moment to prepare
GOTHAM	Batman's home
GTE	Old inits. in telecommunications
EVEL	Daredevil Knievel
TGIF	End-of-the-week cry
EASED	Slowly merged (into)
ATLAST	Cry after a long wait
GITS	Moves it, informally
GERM	Start of an idea
INSIST	More than urge
TSETSE	Sub-Saharan pest
SAYHEY	Willie Mays phrase
ESC	Key futilely pushed after a computer freeze
PAT	Kind of hand
PENNY	Copper
MENSA	One must be quick to join it
MESSY	Unkempt
YELLOWJERSEY	Winner's prize, in 20-Across
YEWS	Fir trees
OENO	Wine: Prefix
WRAP	Shawl, e.g.
JOGS	Bends, as in a river
QUEEN	Ruler of a hive
QBS	Gridiron V.I.P.'s
URI	Mentalist Geller
EOS	Canon camera model
AEROSMITH	"Janie's Got a Gun" rock band
BROWN	UPS shade
SNAGS	Catches
SSE	From Okla. City to Houston
SISSY	Pantywaist
TOPSY	"Uncle Tom's Cabin" girl
TEY	Novelist Josephine
