LACE	Rip (into)
LET	Wimbledon call
AXE	Jungle swinger?
CTR	Hoops pos.
ERRORS	Bad throws, e.g.
ASSET	Long suit
APTTO	Is ___ (probably will)
SIREN	"All clear" signal
SNIDE	Like a snicker
ETA	LAX posting
TALC	Diamond : 10 :: ___ : 1
FLA	Cape Canaveral's locale: Abbr.
FLYING	With 48-Down, NASA concern
LEANTO	Makeshift digs
ASWOON	Blacked out
EXTRA	With 17-Across, NASA concern
AER	Atmospheric prefix
PINTA	Noted caravel
LES	Guitar innovator Paul
TERRESTRIAL	See 13-Across
SAT	Collected splinters, so to speak
YAW	NASA deviation
ORATED	Keynoted
CHINO	Durable fabric
HIERO	Sacred: Prefix
MAWR	Bryn ___ College
MGM	Vegas's ___ Grand
AREA	Gazetteer datum
WALL	It's common in row houses
TONES	Color wheel display
SORER	More steamed
INTO	Turned on by
GRASS	Not Astroturf
STEIN	Ben of Comedy Central
OREGON	Where Mount Hood is
REFER	Direct elsewhere
MEL	Country singer McDaniel
TORTURER	Spanish inquisitor, e.g.
ONETO	The ___ beat
RLS	Hyde creator's monogram
TIC	Twitch
UFO	NASA concern
ALIENLIFEFORM	NASA concern
ITEMS	Inventory list
REDO	Spruce up
MAGS	S.I. and Cosmo
TIESCORE	20-20, e.g.
EAT	Reduce the fare?
TEE	Start of a giggle
ASSENT	Say "A-O.K."
ARISES	Comes to mind
SENATE	Treaty considerers
SAUCER	See 10-Down
RIDGE	Watershed dividing line
INTACT	All there
REAM	Defraud
OGRES	Baddies
GHANA	Gold Coast, today
RACER	Go-cart
EVERT	Court foe of King
SET	Collector's goal
NOSE	Rocket part
INUSE	Occupied
ESSO	Sinclair rival
HAVEAT	Attack
ARS	___ gratia artis
SAC	Relatives of the Fox
SPACETRAVEL	NASA concern
PAP	Fare for the toothless
VAR	Not the usual spelling: Abbr.
EPA	Clean air grp.
LEM	NASA vehicle
ETE	Riviera season
SANER	Not so dotty
SCAPE	Moon follower
SER	Yak in the pulpit?: Abbr.
OPART	Eyeball benders
TRAM	Ore carrier
