SPOIL	Go bad
SHAM	Fraud
PORE	Sweat source
OWED	Unsettled, in a way
ISAIAH	"Four Essays on Liberty" author Berlin
LOSTLOVE	Subject of many operas
PINS	Some matches end with them
PETTRAINER	Whistle blower, perhaps
INUIT	Mukluk wearer
NONO	Ringo Starr's "___ Song"
SLANDER	Put down
CART	It may get pushed around
CRESCENT	Emblem of Turkey
AOL	Chatroom offerer
RAT	One living in a dump
TDS	Causes of cheers, briefly
HOWSO	"In what way?"
ENOL	Carbon compound
ROAD	See 27-Down
AREAS	Quarters
TUNAMELTS	Diner orders
MIEN	Comportment
MEDITATIONIS	Start of a guru's quip
AERO	Prefix with magnetic
ALERT	Ready to react, perhaps
DECADE	Half a score
ARARAT	High point in Turkey
DANIEL	Shays of Shays's Rebellion
ELAPSE	Go by
AMPHORA	Ancient storage jar
ACCESS	With 16-Across, way leading to a highway
MIASMA	Bad atmosphere
PASTEL	Many a Degas
GENERAL	One with star potential?
GETSCLOSER	Approaches
CIA	"World Factbook" compiler
VOICER	One who speaks up
CON	Take in
NANA	"Peter Pan" pooch
CASTE	Division of society
TEAMWORK	Cooperation
NOT	Middle of the quip
STRIP	Peel
SHOPTALK	Co-workers' gab
ESTE	Medieval fortress city in Italy
MENSCH	Person of integrity and honor
MENACED	Hung over
CHOU	Dynasty during which Taoism emerged
AES	50's polit. inits.
SMEARER	Nasty politico
RAHS	Cheers
CHORTLE	"Heh-heh," for one
REHEEL	Fix, as a pump
SALMAN	Author Rushdie
SLOPE	Math calculation
SYRIA	Piaster production place
WHATYOUTHINK	End of the quip
TALE	Yarn
IRAE	"Dies ___"
NISI	Like some decrees
KEEN	Very sensitive
THEOSCARS	Picture show?
TAP	Whence water
HMO	Aetna offering, for short
EER	Ballad's end?
AERIE	Highflier's hangout
AMER	Part of Ascap: Abbr.
ELIE	Peace Nobelist Ducommun
LEASE	Car document
PORK	Kind of barrel
DEAR	Cupcake
KLEIN	Last name in fashion
