LATH	Homebuilder's strip
LEAP	___ year (2004, e.g.)
ACLU	Legal rights grp.
THAR	In that direction, to a whaler
HOSP	The "H" in "M*A*S*H": Abbr.
UCLA	Bruins of the Pac 10
UMBER	Brownish
CREPES	Thin pancakes
LEAR	"All in the Family" producer Norman
ADMONISH	Call on the carpet
STAID	Unflashy
SWEEP	Clean the carpet
TAN	Brownish
ALTO	Choir voice
IDEA	Notion
DORK	Social misfit
ECHO	"Can you hear me? ... hear me? ... hear me?"
MRED	Horse in a 60's sitcom
WALDO	Ralph ___ Emerson
ALAS	"What a shame!"
BEAM	Laser light
ENTER	Go in
PURPLEPROSE	Overly florid writing
LEARN	Memorize
SAVOIR	___-faire
OAK	Acorn maker
ERE	Before, to Byron
NAPS	Recharges one's batteries, so to speak
SMELTS	Gets the lead out?
IPANA	Bucky Beaver's toothpaste, in old ads
IDLES	Runs in neutral
PIANO	Upright or baby grand
ANVIL	Blacksmith's block
NEEDED	Had to have
SHIV	Switchblade
HIRES	Root beer brand
MASS	Weapons of ___ destruction
ADMIT	Fess up to
SNORE	Sound of slumber
SABER	Cavalry blade
DINERO	Pesos
ODESSA	Texas oil city
ISO	Prefix with metric or tonic
EDNA	Author Ferber
LAVENDERHILLMOB	1951 Alec Guinness film, with "The"
EVACUATE	Clear out, as before a hurricane
LEASE	Renter's paper
ENID	City west of Tulsa
EVE	Night before
RETIRE	Go on Social Security, maybe
SOLE	One-and-only
SASS	Mouth off to
STEREO	Alternative to mono
ASTER	September bloom
DISC	Frisbee, e.g.
IMAGE	Likeness
TAS	Some univ. instructors
ADORN	Decorate
AHA	"I knew it!"
AMAD	"Diary of ___ Housewife" (1970 film)
HALO	Angel's headwear
ANON	Unattributed: Abbr.
MAUVEDECADE	The 1890's
VEIL	Bridal wear
CHEW	Grind with the teeth
AURA	Distinctive quality
DRAG	Quarter-mile race, e.g.
ELSE	In addition
MANIA	Reaction to the Beatles, once
INN	Holiday ___
AERO	Flying: Prefix
HURL	Pitch
ALONG	"Git ___ Little Dogies"
TIER	Section of seats
ERAS	58-Across and others
DONNE	"Death Be Not Proud" poet John
ELON	North Carolina college
WAGE	Hourly pay
