ROSS	Supreme leader
RAINBOW	Pointer for gold seekers?
ONTARIO	Neighbor of four Great Lakes
STABILE	Work of art
SILOS	Sights on a rural horizon
BERETS	Special Forces toppers
BRAS	They have supporting roles
EOS	Sister of Helios
RAH	Encouraging word
EDICTS	Orders
TIRES	A bicycle's built for two
SEEN	Taken in
MIG	"Top Gun" target
MIGRATE	Move
IDEAMAN	Thinker
GALLANT	Stouthearted
ANTI	Dissenter
ROADIE	One of a tour crew
IDA	Title girl in an 1884 operetta
ITALIASHIRE	"A County in la Nazione: Autobiography of a 'Godfather' Star"
IRKS	Rubs the wrong way
GEL	Shaving choice
NABORS	"Gomer Pyle, U.S.M.C." star
CENTRAL	Dominant
TBIRDS	Sporty '55 debuts
BRISK	Bracing
FITS	Partner of starts
FLEX	Show off at the gym
ILLBEAN	"Sick Noggin: Autobiography of a Mail-Order Pioneer"
BAMA	L.S.U. rival, informally
OIL	Garage stain
SELLS	Hawks
EMAG	Slate, for one
TITAN	Saturn's largest moon
TAN	Biscuit or almond
WOES	Melancholiac's list
SINGLE	Census form check box
MEL	Blount in the N.F.L. Hall of Fame
PARENT	Report card signer
PART	Hair splitter
IMAXBRAND	"Mark of a Big Movie: Autobiography of a Western Author"
MOO	Cattle call
RANK	File's counterpart
EGGNOG	Seasoned (and seasonal) quaff
ELEMENT	Honda model
GALILEO	"Sidereus Nuncius" author
GRANITE	Countertop choice
EAR	Stud's place
SIPS	Tastes
INALINE	Straight
PIMENTO	Olive stuffing
SLEDGES	Arctic transports
LARGO	Slowly
SANTA	Annual traveler
SALOME	Oscar Wilde play
AFAR	Way over there
NIL	Unimpressive score
ELAL	Airline since 1948
BANK	It might hold your interest
BARON	Captain of industry
FLAME	Scathing online criticism
LILAC	Sachet scent
MINERAL	20 Questions category
RICK	Ilsa's love
TAILED	Didn't let out of one's sight
TAPS	Last call
ELI	Bulldog booster
IRONDARLING	"Unyielding Sweetheart: Autobiography of a Big-League Pitcher"
NEA	PBS supporter
DUD	Flop
NET	Pay stub line
COMEUP	Get mentioned
ANTE	Get in on a deal
TOE	Pirouetter's pivot
KNEADS	Works
CEOS	Bus. bigwigs
