SPARE	Trunk item
SANS	___-serif
PLOW	Furrow former
ALVA	Thomas ___ Edison
RAINFALL	Drops from on high
ENC	Letter accompanier: Abbr.
OFFER	Job seeker’s success
OHSURE	“Yeah, right”
FAQS	Web site sect. for newbies
FLUE	Chimney channel
EVA	Zsa Zsa’s sister
REDTAPE	Bureaucratic tangle
JAM	Gridlock
JUNKDRAWER	Place for miscellaneous stuff
ARIEL	Sharon of Israel
MILNE	Eeyore’s creator
ALLAN	Poe’s middle name
HALVE	Bisect
URI	Mentalist Geller
NOVICESQUAD	All-freshman team?
EMIL	Oscar winner Jannings
NIL	Zero
SWAN	Ugly Duckling, in reality
MUSE	Reflect (on)
TOKEN	Arcade coin
ODE	Lyrical lines
FAIR	So-so
ABA	Dr. J’s old league: Abbr.
SADDLE	Bridle’s partner
SPRY	Nimble
NOTABLEHOPPER	Peter Cottontail?
NUDE	Au naturel
OVAL	Horse course
TUNINGFORK	Item in a musician’s pocket
HARPO	Arthur Marx, familiarly
OCT	Columbus Day mo.
UVULA	Tonsil neighbor
ACRE	Smallish field
AIR	Put on TV
ICUS	Hosp. areas
RARE	Like a compliant cat
DANL	Boone, to rustics
PARTY	Have a ball?
PEEL	Banana waste
AMS	Early hrs.
YWCA	Blue Triangle org.
YOUGOTME	“Dunno”
ELI	Inventor Whitney
TEMP	Fill-in
TYLENOL	Aspirin alternative
COEUR	Heart of France
CON	Bamboozle
NOYESOFCOURSE	Answer to “Who wrote ‘The Highwayman’?”
OYL	Olive in the comics
FRIDGE	Milk container?
CASH	Redeem, with “in”
ARGYLL	Historical Scottish county
ARGOT	Insider’s vocabulary
RITES	Priests’ administrations
RANG	Summoned Jeeves
RIFLE	M-1, for one
OBIS	Tokyo ties
OMAR	“Rubáiyát” poet
BANG	Screen door sound
OONA	Charlie Chaplin’s widow
OTOE	Oklahoma Indian
NERD	One who’s unhip
ARES	Aphrodite’s lover
GTO	60’s muscle car
NOMADHATTER	Milliner on the move?
ORA	___ pro nobis
ASS	Big jerk
OER	Poet’s preposition
ORANG	Zoo critter
SMORE	Campfire treat
TSK	“Shame on you”
LARGE	Supersized
SEEDS	Tournament favorites
