MASS	Father's offering
MCS	Roast hosts, briefly
ARM	Recliner part
SOAPOPERA	Ongoing saga
SCRAPES	Set-tos
FATE	What will be
FAB	Terrif
ADO	Brouhaha
TIMER	Kitchen counter?
ENBLOC	As a whole
COAST	Not try very hard
CURLICUE	Fancy twist
ONE	United
ADLAI	Statesman Stevenson
SEATO	Defense grp. of 1954-77
TRYON	Check for fit
CROC	Gator's kin
ADIN	Tennis score after deuce
UNDER	Completely anesthetized
SMARTBOMB	Fashionable explosive?
THUD	Impact sound
RELAY	Team track event
PAH	Tuba sound
ELAL	Airline to Israel
APO	Mil. mail drop
ATO	From ___ Z
POPULAROPINION	Fashionable view?
PACED	Walked nervously
LALO	Film composer Schifrin
ATIT	Quarreling
NOS	Discouraging words
GAPEDAT	Took in with astonishment
GIGI	Leslie Caron role
COCO	Chanel of fashion
ICES	Clinches
LIP	Insolence
PCS	Gateway sales
USHER	Marriage guide
HARDNOSED	Tough
EBOAT	W.W. II torpedo craft
REDS	Cold war foe
GER	Neighbor of Aus.
HOTCAKE	Fashionable dessert?
HOMEFREE	Out of jeopardy
APOC	Grp. of books in the Bible
KANE	Welles's "Citizen"
ABE	Justice Fortas
IDAHO	Sun Valley state
HAR	Kramden laugh syllable
SPA	Splashy resort
TROD	Plodded
TIEINTO	Connect with
AMIE	Friendly femme
IPO	Wall St. debut
ELAINE	Pal of Jerry Seinfeld
ONEIDAS	New York tribe
EMMA	Madame Bovary
HIPREPLACEMENT	Fashionable substitute?
HARSH	Strident
IVANA	The Donald's first ex
PARIS	Rue de Rivoli city
AMNOT	Comeback to "Are too!"
AVA	Gardner on screen
FOAM	Shaving stuff
MIO	"O Sole ___"
RARER	Relatively red
EDT	Buffalo's summer hrs.
INTRANSIT	Fashionable conveyance?
TLC	R.N.'s forte
RAH	"Go team!"
IRE	High dudgeon
TIS	Carol contraction
SNIDE	Like some remarks
NOLA	Vincent Lopez's theme song
TERI	Garr of "Tootsie"
HASTE	Undue speed
ETCH	Make one's permanent mark
ODES	Lyrical tributes
