DAFT	Ditsy
DOES	Discharges
ALVA	An inventor's middle name
FLEX	Flaunt, say, as muscles
TAR	Tobacco smoke component
OVEN	Oast
ONELEG	On which an arabesque is performed
VENEER	Varnished surface, sometimes
EMTS	Experts at CPR
NOR	Neither's partner
LOSIN	Lynyrd Skynyrd's "Am I ___"
LATINA	Lady from south of the border
OCHRES	Orangish tones
SHAW	"Saint Joan" playwright
IOTA	Insignificant amount
NOSY	Not just casually interested
OLLA	Oviedo stew
NEMO	Nautilus captain
ACHOO	Allergic explosion
EVERYENTRYTHATS	Explanation of this puzzle's theme ...
YIPES	"Yowzer!"
YACHTS	You can see them at marinas
SAX	Single-reed instrument
ILES	Isolated French places
AIRWAY	American or Delta route
SPEE	Scharnhorst admiral of W.W. I
SHES	Sinatra tune "___ Funny That Way"
ACNE	Adolescent outbreak
ADIT	Access for a collier
INTHEGRIDHASTHE	... including this ...
IDEAS	Inspirations
NANNA	Norse goddess married to Balder
TWOAM	Time to close a bar, maybe
INITS	"I" and "M" in I. M. Pei: Abbr.
TROUT	They chase flies
HESSE	Hermann who wrote "Steppenwolf"
ENTER	Exit's opposite
DAWES	Director of the budget who became U.S. vice president
NIT	Niggling criticism
REN	Rapper MC ___
ENOS	Enoch's great-great-grandfather
SPITS	Sticks turned over a fire
SOIREE	Shindig of sorts
PARE	Peel
MOST	More than half
MOTE	Minute bit
ANA	Anecdotal collection
OAT	One may be rolled
MOUSE	Macintosh accessory
MESAS	Monument Valley sights
SAMEFIRSTLETTER	... still more ...
ESTHER	Espoused of Ahasuerus, in the Bible
FILETS	Fish orders
TVTRAY	Tube watcher's food holder
LARYNX	Language organ
SIRE	"Sovereign"
VASE	Vessel for a florist
BUSTLE	Busyness
BARO	Beginning for metric
USED	Utilized
STLO	Site of July 1944 fighting
ATRA	Alternative to a Trac II
ATAN	Arrive ___ agreement
ARM	Appendage
ALBA	Actress Jessica
RUES	Regrets
METS	"Miracle" team of 1969
ASTHEENTRYSCLUE	... and, finally, the end of the explanation
NCO	No lieutenant yet: Abbr.
CAT	Cool ___
RELET	Rent again
CAAN	Corleone portrayer
ABET	Aid in crime
ODORS	Offensive emanations
ONYX	Ornamental stone
TASS	Transmitter of cold war news
