SLEEP	Skins
SPAMS	Bombards with e-junk
LALAS	Lots of "Deck the Halls"
ECOLE	Professeur's place
EEN	Poet's time of day
PRESSERS	Ones whose work is decreasing?
POLS	It's hardly haute cuisine
PATRONSAINT	Denis, to France
OSIER	Flexible weaving material
LTD	British co.
SIE	"Sprechen ___ Deutsch?"
ORG	Miracle-___
ONICE	Not neat
RTREV	Prelate's title: Abbr.
GEODE	All-natural sparkler
PACER	Go over again
ASTI	"___ girl!"
ANTE	Active volcano near Messina
AGAR	John who co-starred in "Sands of Iwo Jima"
ALONE	___ Gay
TIDE	Move text around
GIRO	Not a dupe: Abbr.
MAL	On the ___
SIRE	Goddess of discord
ISO	Prefix with metric
FACED	Late-night beverage
FYI	"This might be of interest," on a memo
SSE	Season opener?
SSORCAYREVE	Start of instructions for solving this puzzle
CHOREOGRAPH	Stage
ASTR	College sci. class
LEON	Winter air
LOFT	Overhead cost for an artist?
HSI	Relative of -esque
ROTOR	Helicopter part
RMS	Bldg. units
OOP	"Alley ___!"
TRI	Angular prefix
SPOT	A number one
PER	___ curiam (like some court rulings)
SLAG	Misses
SWAN	Constellation next to the Dragon, with "the"
LSD	Much-discussed initials of a 1967 Beatles song
ANA	Bibliographic suffix
GAM	Pinup feature
MORFSDAERREWSNA	Instructions, part 2
DEET	It bugs bugs
EMERALDS	Green rocks
SPIT	Aids for police detectives
EIRE	Lake bordered by four states
MADAM	Female, formally
DEN	Dashiell Hammett hero ___ Beaumont
DON	Opposite of remove
OMEN	Nautilus leader
MIC	Bit of A/V equipment
TFELOTTHGIR	End of the instructions
TADAS	Performance fanfares
FLOJO	1988 Olympic track star, informally
ELOAN	Online financial services company
LIRR	One way to N.Y.C.'s Penn Sta.
HOMEO	Prefix with -path
NOB	Voyage kickoff?
NORMA	Bellini opera
ORNOT	Words after "whether"
BEENE	Designer Geoffrey
ALLIN	Brand of wafers
ORCA	Height: Prefix
ORE	Suffix with ranch
DOOR	Cross
TAMA	Word from a Latin lover?
TSP	Abbr. on a cough syrup bottle
ATO	___ Z
LORNE	Matriculate
OAT	Kind of bran
AJAR	The Blue ___ (Hank Azaria's "Mystery Men" role)
STEP	Penthouse pinups
DAMON	Rover
SON	Figs.
POOH	Circus trainer's prop
STATE	Divisions politiques
