BMXER	Debut Olympian of 2008
BLESS	Smile on
MILLEBORNES	Game with hazards, safeties and remedies
XAVIERCUGAT	Entertainer who was the first man to be married at Caesars Palace
ENID	Personification of purity, in literature
RESOW	Make seedier?
COBBSALAD	Dish served with Roquefort cheese
COW	Make chicken
OREO	It has 12 flowers on each side
BOLDASBRASS	Overly confident
BYLOT	One way to break ties
SPARETIME	Result of a break
ALBS	Garments covered by amices
LAO	Language written with no spaces between words
ATV	Mud bogger's purchase, briefly
DAE	"Lost" actor Daniel ___ Kim
LIANE	Tropical vine
OROYPLATA	Treasure State's motto, aptly
ELVIS	Andy Warhol subject
WELLABOVE	Easily past
SLIDON	Had trouble with, as icy roads
NELLIS	Air Force base near Las Vegas
ODORS	What wavy lines often represent
SEE	"Let's ___"
WES	Film director Anderson
SELFHEALING	Holistic medicine topic
ATE	Fell hard, with "it"
SCI	It might be physical: Abbr.
STANDINAROW	Line up
CANCELEDOUT	Simplified, in a way
INTER	Start to change?
BRR	Shaker's cry
RIELS	Cambodian cash
LEDS	They're often seen on scoreboards, for short
DUELS	They often have seconds
TITAN	"The Sirens of ___," Kurt Vonnegut novel
ICANT	Turndown from the overcommitted
SOCIALLUBRICANT	Alcohol, it's said
STEPS	Salsa ingredients?
ALIENRACE	Vulcans, e.g.
ROVERS	NASA's Spirit and Opportunity
TRUELIFEROMANCE	Hepburn and Tracy shared one
ENGLISHLAVENDER	Aromatic plant native to the Pyrenees
PEASE	Kind of pudding
ESSE	Ab ___ (absent: Lat.)
TIL	"___ There Was You" (1997 film)
SST	Flier with delta wings
NRA	Arm supporters, for short
RATER	Michelin, for one
SRS	They often get rings: Abbr.
SABIN	Albert with a National Medal of Science
NEW	Brand follower?
WANTS	List in a wish list
TRALA	Refrain from singing when you're happy?
TROD	Put shoes on?
ACTA	They're found within minutes
SALADA	Tea originally wrapped in foil
LOME	Capital on the Gulf of Guinea
SOCRATICS	Plato and others
SIG	Foreign Mr.
ONE	The same partner?
CNN	"American Morning" home
SIP	Spoonful, maybe
BORON	Ulexite is rich in it
INNOCENTI	Pope when the Visigoths seized Rome
IMOUT	Poker player's declaration
GENDERGAP	Title IX concern
NEWTS	Ones with bewitching eyes?
