SALUD	Toast to one's health
SALT	Pepper's partner
ABOO	"Peek-___"
LABORDAY	Jerry Lewis telethon time
USSTEEL	Andrew Carnegie corp.
DET	Investigator: Abbr.
CRANE	Whooping ___
CORAL	Reef material
RIPS	Steals, with "off"
ALOE	Skin cream ingredient
NETS	New Jersey hoopsters
ERS	Places to see M.D.'s in a hurry
DEB	Belle of the ball
DUPONT	Company behind nylon and Teflon
ENESCO	Georges who composed "Romanian Rhapsodies"
BOPEEP	"Little" shepherdess of children's verse
ABASE	Humiliate
OILER	Ship from the Mideast
UNO	Commercial cousin of crazy eights
LOBSTERPOTS	Traps off the coast of Maine
EVEL	Daredevil Knievel
PEP	Get-up-and-go
TOOT	Horn sound
VASES	Urns
HOSE	Nozzle site
HISS	Serpentine sound
REBEL	Southerner in the Civil War
BASSETS	Droopy-eared hounds
SINCE	"___ you asked ..."
SKATING	Rink activity
NODEAL	Part of a TV catchphrase from Howie Mandel
NOW	This instant
ORR	Bobby ___, the only N.H.L.'er to win the Hart, Norris, Ross and Smythe trophies in the same year
BACKSTOP	Ball catcher behind a catcher
BASES	Points on a diamond?
AMPS	Roadies' loads
CEO	Corporate V.I.P.
ORALS	Thesis defenses
SAMEAS	Identical to
SNIP	Salon sound
WRY	Twisted, as humor
SUNSPOT	Source of disruption to satellites
UFO	Roswell sighting
BRO	"My man!"
BEANPOLE	Tall, skinny guy
RAW	Like vegetables in salads
OMS	Mantra syllables
DEFIES	Disobeys
DKNY	Designer letters
IBEAM	Letter-shaped skyscraper support
BLOOPER	Knee-slapping goof
TANKTOPS	Sleeveless shirts
TODATE	Thus far
AVENUE	Street
NEWAGE	Music genre for Enya
INLAWS	Strained relations?
IGOR	Aviation pioneer Sikorsky
OVENS	Bakery fixtures
EGGON	Goad
ERODE	Wash away, as soil
DEWY	Moist, as morning grass
PEDRO	Los Angeles's San ___ Bay
PERU	Andean land
EWER	Pitcher
DYES	Turns red, perhaps
OPIE	Mayberry lad
ISLE	"Survivor" setting, sometimes
ETAL	And others, briefly
ANA	Santa ___ winds
NEWYORKPOST	Gotham tabloid
NBC	Peacock network
KFC	Col. Sanders's chain
TUG	Yank
BREED	Kennel club classification
FELLA	Guy
EEE	Wide shoe spec
CURSE	Put a hex on
CREEL	Fish basket
