BRILLIG	*4:00 in the afternoon
BLAS	Lesage hero Gil ___
RILE	Make stew?
INCA	Certain ancient mummy
LEOS	Affectionate, fiery types, supposedly
LAHORE	Pakistan's so-called "Garden of Mughals"
IRONER	Person whose work is decreasing?
GAL	Miss
GIMBLE	*To make holes
GOER	Church annex?
IRAE	___ caelestes (divine wrath: Lat.)
MAD	___ Hatter
BGIRL	Old-time floozie
LENYA	"From Russia With Love" actress Lotte
EDGED	Beaten (out)
LINEARA	Form of writing of ancient Crete
FORAGED	Sought food
FRYPAN	Browner
ALCOHOL	It comes in fifths
READING	Poetry performance
SEASON	Add zest to
GYRE	*To go round and round
GANG	Sharks, e.g.
RYE	Catcher's spot?
RECAP	Wrap up
CSI	Long-running CBS hit
CLAD	Wrapped up
CHASER	Beer, sometimes
BANDERSNATCH	*Fearsome, swift-moving creature with snapping jaws
BODY	Vintner's concern
ARIA	"O patria mia," e.g.
NEER	Opposite of alway
DOODLE	Drawing in a margin, maybe
TOM	Waits in music
CRY	"Curiouser and curiouser!," e.g.
OREO	It's 71% cookie, 29% creme
IGNORAMUS	Chucklehead
MOTO	Mysterious Mr.
URAL	Kazakh river
SELL	Bears do it
DIEOUT	Emulate the dodo
USE	Take advantage of
TAW	Playing marble
MYSORE	Indian tourist city
YARDSALES	Means of unloading?
LISBON	Departure point for explorer Vasco da Gama
ESNE	Feudal laborer
SCI	It goes after poli and before fi
ETAL	Unnamed others, briefly
LEWISCARROLL	Writer who was the source of all the words with asterisked clues in this puzzle
ADJURE	Urge formally
REALIA	Objects employed to show everyday life
CAKE	Wonderland food for Alice
CHATS	Online discussions
AURAL	Not visual
KHAKI	Uniform coloring
SNIDE	A bit nasty
HUH	"Say what?"
WABE	*Grass plot around a sundial
WASH	Wadi
AHOY	Stern cry?
JAILED	Put away
ITEM	Detail
LANI	Lawyer/civil-rights activist Guinier
ENTS	Tolkien creatures
DASH	Tach's location
ARAPAHO	Some buffalo hunters of old
PET	Dear
SULTANA	Variety of grape
SOB	[I'm heartbroken!]
TAKESON	Confronts
ORIENTS	Positions (oneself)
SLITHY	*Lithe and slimy
BEAMISH	*Smiling radiantly
