SCATMAN	Crothers of "The Shining"
SHUSH	"Pipe down!"
CISCO	Great Lakes whitefish
ATTAR	Fragrance
THINNER	It's used for the sake of consistency
MONTENEGRO	European kingdom, 1878-1918
AMOY	Island in the Taiwan Strait
NEV	Toiyabe Natl. Forest locale
SHAMMED	Feigned
SPARK	Activate
HOBBS	"The Natural" baseballer Roy
ALAI	Kyrgyz range
MENTHE	Crème flavorer
MADEINUSA	Impression of domesticity?
EXORCISER	Priest, at times
DEN	Kind of mother
HITHOME	Was personally meaningful
POLEAXE	Early chopper
USTINOV	Frequent Poirot portrayer
ABANDON	Ditch
SCANTY	Thin
ARBITER	One who makes calls
APENNINES	View from Bologna
HORNE	Met debutante of 1970
TPKS	Some N.Y. and N.J. roads
TREAD	Its lack results in baldness
HICK	Provincial
KESEY	Chief Bromden's creator
ENTRE	___-temps (meanwhile, to Monique)
THRU	"No ___ traffic"
GENIE	One might be rubbed out
GRANTSTOMB	Manhattan tourist attraction
APPREHENDER	Officer, at times
ATHOL	Massachusetts town
PHEROMONE	Attractive substance
POSTCARDS	Popular souvenirs
DOMES	Bubbletops, e.g.
ELEA	City in ancient Lucania
USS	Cruiser letters
THO	E'en if
GRANOLA	Snack bar?
SEE	Catch
HES	The Platters' "___ Mine"
RUDIMENTARY	Abecedarian
TOTASTE	Subjective recipe phrase
ORTHO	Big name in lawn care products
HOLDIT	"Not so fast!"
NEATO	"Outta sight!"
LOCO	Bananas
DIES	Doesn't go
DENTI	Tooth in front?
IDEST	Relative of exempli gratia
STARE	It may be vacant
AGIRL	"___ in Every Port" (1952 Groucho Marx comedy)
RENEE	Soprano Fleming
EDGED	Double-___
MALTEDS	Jerks' offerings
TOCK	It's heard around the clock
STAGED	Put on
SOLI	Recital numbers
WORDONE	The slightest peep
WIT	Zinger producer
GOOSING	Prodding to action
GEL	Hair raiser?
INDICTS	Charges
ELMTREE	Home to some bark beetles
TESTKIT	Do-it-yourself diagnostic aid
LIBELED	Put down in writing
