TASTE	Discrimination
TOBAGO	Island southeast of Grenada
AIRGUN	Hand tool that uses compression
SLIEST	Like the fox among all beasts
TENDTOEXCESS	Mother too much?
ERG	Work unit
ASHE	1967 U.S. clay court champion
APPEND	Add
SLANTIER	More sloping
HAS	Is down with
ETTE	Follower of Jean?
DOWSE	Divine
DOCTOROW	"Ragtime" writer
OAKEN	Like many an old bucket
WRY	Twisted
SES	French possessive
EDUCES	Draws out
DOSE	Two caplets, e.g.
DEJA	Already in Paris
OVER	Kaput
SECS	Parts of a 95-Across
ESTE	Ferrara family name
OILER	Persian Gulf sight
PLAT	Dreadlocks feature
OARED	Had a row?
EVES	Party times
BRINGUPASTICKYSUBJECT	Mother a pasty vassal?
USA	Inits. on a rocket
IRMA	Soprano in "Louise"
BORSCHT	Kind of belt
AGED	Got on
SEN	D.C. body
ERTE	Art Deco illustrator
COARSE	Not cultured
GUST	Sudden burst
ANTE	Deal preceder
ESTEEM	Prize
MONSTER	Cookie ___
STENCIL	"M*A*S*H" logo, e.g.
TOODLEOO	"Bye!"
ONTO	Not fooled by
DISBAR	Prevent from practicing
BOATING	Lake activity
TOSSPOTS	Sots
PEI	Javits Center architect
OLE	Cheer at the end of a dance
TIL	Up to, informally
SAD	Deplorably poor
EMU	Easily tamed bird
MEIR	1970's P.M.
UNDERSEA	Like the Titanic
ETO	Command for D.D.E.
OLEO	Toast topper
LIE	Golf ball position
CELIA	Poet Thaxter
FLAXEN	Straw-colored
FREED	Loose
LANGE	Jessica or Hope
ANTON	Dutch landscapist ___ Mauve
REARWINDSHIELD	Mother a pane in the backside?
RATATAT	Gunfire sound
SARDINES	Pack-'em-in children's game
RANCID	Rotten
ETA	Part of a pilot's plan: Abbr.
ECLAT	Big display
ENTERER	Computer typesetter
ROOTBEER	Hires, e.g.
MITT	Hand holder?
TWOTIME	Cheat on
IER	Suffix with hotel
FACT	"Is that a ___?"
FOSTERBROOKS	Mother some babblers?
ASKIN	Greet warmly at the door
CLINT	First name in westerns
TONGS	Graspers
EGOS	They're big in boardrooms
ROM	CD-___
MYRIADS	Lots and lots
NAW	"No sirree"
LOD	City in central Israel
OSLO	Edvard Munch Museum site
DENS	Scout groups
SOY	Salty sauce
GTOS	Pontiac classics
SENILE	More than forgetful
OILSKIN	Whaler's wear
LOVE	Nothing on the court
TETRA	Aquarium fish
TEEDOFF	Hot under the collar
AGS	Reno and Kennedy, e.g.: Abbr.
ATE	Absorbed, as a cost
NOTING	Record making
RAISEABIGSTINK	Mother someone who's really awful?
RIB	Tease
ASL	Soundless communication: Abbr.
ITO	Four-time Japanese prime minister
SLO	___-mo
STREAMER	Parade decoration
KNEADING	Working, in a way
EVENTS	Doings
ISTLE	Basketwork fiber
EAST	Near ___
MIN	See 17-Down
SER	It's often heard on Sun.
BLOODRED	Crimson
RESOLD	Like antiques at an auction
REELED	Brought (in)
EDGE	Leg up
DRONES	They have no sting
BRIM	Cup part
REPEAT	Meaning of two dots and a bar, in music
IDEATE	Conceive
MOLTER	One that sheds
OERSTED	Physicist who pioneered electromagnetism
TROVE	Collector's stash
EARP	Holliday partner
PEG	Classify
REDO	Make over
SCARFS	Eats voraciously
SCAB	Sign of healing
CAPE	Superhero accessory
AREA	See 114-Down
REST	With 113-Down, a roadside sight
RAGE	Ferocity
ETAL	List ender
DOE	John in court
OPEL	European auto import
CAREFORSOMETHINGTOEAT	Mother a small fry?
REO	Rock's ___ Speedwagon
SAT	Remained
HOE	Ground breaker
TSE	Literary inits.
APES	Parodies
LEAVE	Bequeath
AONE	Top-drawer
SKATE	Glide
BEAT	Rock and roll prerequisite
DOTER	Mothering sort
LEGS	Stamina, so to speak
ESTER	Phosphate, e.g.
