CHOKEDUP	Emotional
CHOICE	Superior
HANSOM	Central Park sight
OVERDO	Be intemperate
KEL	Nickelodeon's Kenan and ___
EDIT	Put in or take out
DONAS	Toledo titles
UNESCO	Paris-based grp. since 1946
PERSONALEFFECTS	Things
ESCAPE	Soap operas or movie thrillers, say
ESP	Head-to-head phenomenon?
STUCCO	Like some walls
CALLA	Plant with arrow-shaped leaves
ABSORBER	Cushion
PLAYDOWN	Minimize
EER	"...all that wealth ___ gave": Gray
HAVEDONE	Direct an aide to handle
STABLE	Unlike nobelium, e.g.
ONELINER	Routine part
PULSAR	Astronomical discovery of 1967
ISR	Med. land
TASS	Sputnik coverer
CLOY	Be too much
CODA	Closing notes
ATONE	Answer (for)
SCORECARDS	Where some eagles are seen
REBA	Country name
ETONS	Short jackets
SODS	Chaps, in British slang
EMOTE	Go overboard, in a way
EVE	Threshold
ONETO	"It takes ___ know..."
BOO	It may produce a chill
OVA	Caesar's salad ingredients?
ASHES	Fire proof
ABO	___ system
LEWD	Not clean
LEGOS	They snap together
CHINESELANTERNS	Patio party decorations
CEES	Copyright indicators
HILLSIDE	Slope
INSEASON	Readily gettable
EURO	Buck overseas?
TAN	Get darker
EINE	Marxian article
HUE	Clamor
SAG	Decline
ELS	Rare transports, nowadays
SERFS	Lord's workers
SPECIE	Coin
SACHET	Scented pad
NOMAD	Bedouin
MEDIUM	Person with a message
AMOEBA	Item on a lab slide
DISSED	Put down, slangily
SLEEPSOFAS	Some convertibles
EMEND	Fix
SHESA	"___ Lady" (1971 hit)
SEMI	Biographical opening?
SAME	All the ___
ECHO	Sonar principle
OATY	Like some high-fiber cereal
DOS	Recommenda-tions
BISECT	Split
BAS	Humanities degs.
TSE	Literary monogram
CHEAPIES	Budget items
PTS	Liq. measures
ADONIS	Beloved of Aphrodite
TESTTUBE	Synthetic
SENDEE	One who gets the message?
STAYSMAD	Won't forgive
