JAZZERCISE	Tae Bo alternative
JOG	Nudge
ANA	Baptist leader?
ZEB	"The Waltons" grandpa
ZOLAESQUE	À la the founder of literary naturalism
EVENSO	Still
REREADS	Proofs, say
CROW	Vaunt
IPO	Bit of business news, for short
SAFE	First call?
ERSKINE	1990s White House chief of staff Bowles
CHAS	English pop duo ___ & Dave
CREST	Umbrella bird's "umbrella"
HEROES	Some are decorated
AUGUST	Grand
SPOTTY	Erratic
ONEOVERPAR	It's not bad for a duffer
REUP	Extend one's service life
GABLEROOFS	Cape Cod components
ERGO	Conclusion lead-in
ANEW	Fresh
EKESOUT	Just makes
EQUUS	1977 Richard Burton film
WALESA	Only private non-American to address a joint session of Congress (1989)
WEI	Early Chinese dynasty
APRS	Loan figs.
LIAM	Irish statesman Cosgrave
IQTEST	Sharpness gauge
EPISODE	Season opener, say
ETSEQ	Bibliographical abbr.
GNU	Lions might score one
GROOM	Worker in a stable environment?
STY	Foul territory?
IRAQ	Baath party place
STOREUP	Squirrel
ORS	Where some parts are repaired, briefly
PETRIDISH	Germs grow in it
SMUT	Net Nanny no-no
TAROS	Starch sources
SRO	Breaking capacity, briefly
SECT	Zealots' group, maybe
CRUX	Central point
TALI	Anklebones
EASESON	Dons effortlessly, as footwear
SECURED	Locked in
NOTURNS	Rush hour restriction
TRAP	Big mouth
PEE	Top finisher?
OTO	Chiwere speaker
OZARKS	Buffalo National River locale
TINORE	Cassiterite, e.g.
OPTSIN	Doesn't decline
REQ	Not elective: Abbr.
MOBRULE	Ochlocracy
BREVES	Double whole notes
ZIPLOC	Baggie biggie
LEAST	Minimal
TRIXIE	TV neighbor of Ralph and Alice
ANTESUP	Indicates that one is in
PEAR	Kind of brandy
CUED	Ready to be played
CEOS	Firm wheels, for short
ROSA	Flower genus that's also a woman's name
RESERVISTS	Ones who might get service calls?
STE	Suzanne, e.g.: Abbr.
SHO	"The Tudors" airer, in brief
TAE	Inits. of a noted "Wizard"
STS	G.P.S. data
KRIS	Barbra's "A Star Is Born" co-star
EATONESHAT	Be forced to backpedal
SENT	Full of rapture
DRESSSHOES	Pair for a suit
