LARD	Grease
LIPPI	15th-century painter of "The Adoration of the Magi"
ACARD	"Pick ___ ..."
REPAY	Square things
DEADLINE	End point
SCUD	Move quickly, as clouds
STA	"Come ___?" (Italian greeting)
CUZCO	It was largely destroyed by a 1650 earthquake
UNZONED	Free to do with as one wishes
DAINTIES	Tasty tidbits
COPES	Doesn't crack under pressure
COVEREDDISHES	Potluck array
OKAPI	Rain forest ruminant
PASTORALE	Handel or Bach piece
EYES	Choice meat cuts
SSS	Lottery runner: Abbr.
ICEE	Big name in frozen confections
TUNA	Sushi selection
OKAYS	Initials
PAPARAZZI	They're concerned with shooting stars
ROLLERCOASTER	Scream elicitor
VASES	One might make arrangements for them
PRADO	Site of some famous hangings
CONCEPTS	Thoughts
CAREENS	Lurches
IDYLL	Romantic interlude
ONTARIO	Where the Dionne quints were born
ILE	Land in le Pacifique
ESSENCE	Lifeblood
EIRE	Yeats subject
RAE	She played Mrs. Garrett on both "Diff'rent Strokes" and "The Facts of Life"
ALIT	Hit the roof?
EBAY	You may bid on it
TBONES	Dog treats
TRIX	Brand pitched by a rabbit
BETE	Émile Zola's "La ___ humaine"
OVERTOAST	How bruschetta is served
DEED	Proof of purchase
ALB	Ritual garment
REVERSE	A motorist may drive in it
ENTANGLE	Mat
SEDALIA	Home of the Missouri State Fair
ANTENNAS	Sensors in nature
ITE	Ore ending
CENT	Minimal change
TORSION	Mechanical twisting
NINETY	You may be stopped for doing it
XER	Boomer's kid, informally
ONTO	Not had by
SST	Old flying option
TEACART	Portable service station?
ENSUE	Result
TERRY	Comfy bathrobe
HEIRS	Suspects in many murder mysteries
INANE	Poppycockish
RUMOR	Reporter's starting point, perhaps
SIENA	Italian province
NONSENSE	Moonshine
NOSE	Identi-Kit selection
ENNUI	Fin-de-siècle feeling
ROAST	Really take to task
RIP	Dead letters?
GIRLSNAME	April or May
LEO	Home to Regulus
ISSUE	Bone of contention
LORE	Erudition
ANON	Within the hour, maybe
PETER	Title character of a Prokofiev favorite
ENYO	Greek war goddess
SERA	Some medicines
