JAPHETH	Son of Noah
JFKJR	Celeb often seen in supermarket tabs
ALLAY	Put to rest
PEASE	Porridge ingredient
HEXOSE	Simple sugar
ECON	Budget subj.
TENSPEED	Kid's present, perhaps
HRS	"48___"
OCTAVOS	Book sizes
OPTICAL	Re sight
CARMEL	California artist's colony
TRAYS	Drive-in diner supplies
AVI	Bird: Prefix
VELAZQUEZ	"Las Meninas" painter
ONEBOUNCE	Tennis maximum
SURCEASED	Discontinued
FLEECER	Con artist
PARVENU	Upstart
KLAXONS	Electric horns
TRAILER	Camper
JASONS	Actor Priestley et al.
RIMY	Frosted
RENE	Tennis's Lacoste
ABC	"Rin Tin Tin" shower
RYES	Bread and drink
PIECES	Kings and queens, e.g.
IRV	Sportscaster Cross
ZOE	Pulitzer dramatist Akins
ETERNAL	Enduring
TRES	Spanish crowd?
AQUA	___ pura
ATE	Picnicked
MOI	Kenyan president beginning 1978
MADEAFIST	Prepared the punch?
OVERLUNCH	How some business deals are made
IONIANSEA	View from Syracuse
REVEL	Cut loose
STUNS	Overwhelms
SRTA	Mlle. across the Pyrenees
AVOWED	Confessed
WIN	Game aim
GREECE	Prince Philip's birthplace
GOESGAGA	Loses it
DENIS	Patron saint of France
BIGOT	TV's George Jefferson, e.g.
BODEREK	"Tommy Boy" co-star
IRES	Ticked states
GDR	Warsaw Pact member, initially
ZED	O.E.D. ender
ERIN	Thomas Moore's homeland
FORDEAD	How some are left
FIGARO	Mozart subject
DOZING	Out
ALA	Menu words
RIDERS	Rough ___
RAFTS	A lot
ORAN	City NW of Mascara
REMIT	Pardon
ABUZZ	Full of lively gossip
NOSEE	Long time follower
FUN	Kicks
AGES	Census data
GAZEBO	Elegant garden feature
AXON	Neuron part
INSOFAR	To such an extent
OPT	Go one way or the other
MAXIMUS	Circus follower
MAY	Has a green light
SCEPTRE	Sovereignty, in Sussex
AGONIZE	Struggle
THATSOK	"No problem"
YANGTZE	Chang, alternatively
