AGUE	Flu symptom
AUNTS	Some kin
GNARL	Twist
ULNAE	Skeleton parts
EVANESCENT	Fleeting
GOGO	Spirited
GIULIANI	Time's 2001 Person of the Year
ORGANSTOPS	They're often pulled out in church
GELT	Do-re-mi
ODIE	Comic strip canine
ROOMS	Things let out
RISK	Uncertainty
OMNI	Book in the Book of Mormon
OPENWEAVE	Scrim feature
MEATEATER	Human, by nature
SIDEDRESS	Place plant nutrients near the roots of a growing crop
UNLV	1990 N.C.A.A. hoops champs
IRED	Steamed
IMPEI	Rock and Roll Hall of Fame designer
NANA	Family term of endearment
UGLI	___ fruit
SNEAD	One noted for long drives
TRANSLATE	Make understandable
SPHERES	Purviews
KINTE	Burton's 1977 miniseries role
SLEEPIN	Catch 50 winks?
WED	Join
SHASTA	Western national forest
TERRE	Land, in another land
ARMORPLATE	Protection from enemy fire
SWEAR	Promise
SITONIT	"Go fly a kite!"
WHITECEDAR	Choice for durable wooden fencing
OFFCENTER	Out of whack
OUTSAILED	Beat at sea
FLOWNSOLO	Performed helplessly?
FTWAYNEIN	Home of the Univ. of St. Francis
IHATE	Cole Porter's "___ Men"
ULTERIORMOTIVES	They're behind some actions
OMELETTE	Brasserie dish
TOWNE	"Shampoo" screenwriter Robert
PROMOTERS	Advocates
SWATS	Bats
SERENE	Pastoral
ANY	No one in particular
PLICATE	Folded like a fan
AEIOU	Facetious group?
TREND	Economists' concern
ESTEE	Forename in fragrances
ISNOT	Edna St. Vincent Millay's "Love ___ All"
OWEN	Glendower who revolted against Henry IV
TELE	Marketing leader?
MULETEERS	Team leaders
MAPS	They have scales
UNUM	Ancient one
LOEWE	"Why Can't the English?" composer
ANAT	All the things you are: Abbr.
DIET	What's taken in
ELIEL	First name in architecture
PUTT	Something sunk
AONE	Primo
DONNE	"The Bait" poet
SMEE	Fictional pirate
RUDE	Unfashioned
