MADEWAVES	Created a disturbance
MODELTS	Cranky cars?
ANATURAL	Someone who's innately talented
DATABASE	Modern storehouse
EVE	St. Agnes's ___
WELLES	"Othello" director, 1952
ARIEL	Sylvia Plath collection
VANESSAS	Williams and others
EGER	Hungarian city or river
SESAME	Opening word?
MADAM	Bawd
MAB	Dream controller of folklore
ALE	Many a pint
DARROW	"Crime: Its Cause and Treatment" author
ANGELA	The boss in "Who's the Boss?"
MASSEY	Dr. Gillespie player in "Dr. Kildare"
ONAVERAGE	As often as not
ALANA	Ex-Mrs. Rod Stewart
DATELINES	Dispatch identifiers
BERGS	Bow breakers?
ETA	Announcement to passengers
LEERAT	View badly?
TRENDS	Stock watchers' concerns
RES	___ gestae
LUB	Friction reducer: Abbr.
ELS	Chicago sights
MRSDOLE	Early dropout in the 2000 presidential race, politely
SDI	ABM treaty violator
DAPPLE	Spot in the stable
TRAMS	Colliery carriers
METERS	They're fed at the side of the road
SPEEDAWAY	Hightail it
POSIT	Place
SASE	It has your name on it: Abbr.
TAO	Way of the East
TARMAC	Landing locale
NIP	Tang
LET	Ring attachment?
ASSAD	1970 military coup leader
AQUATINT	Etching of a sort
PVT	Ryan was one: Abbr.
VENACAVA	It gets to your heart
TASSELER	Rug decorator
ERR	Go bad?
ROT	Go bad
IQS	Subjects of tests
LEAD	Not back up
DESSERT	You may not have room for it
IMPROMPTU	Unprepared
ITALIA	Lago d'Orta locale
MELOTT	He wore "4"
PLAGES	Bathing beaches
PRAWNS	Some scampi
TENSE	Perfect, e.g.
TAPETA	Retina layers
TELSTAR	Early TV signal relayer
AAA	This may give you gas: Abbr.
AUTOS	Monte Carlo et al.
ASS	One with a burden
ALA	___ provençale
CASTUP	Raise, as the eyes
SHOE	It may contain a tree
CES	Parisian pronoun
LOGON	Prepare to chat, perhaps
ORE	Contents of 28-Across
NSA	Code crackers: Abbr.
WHITESALE	Event for a short-sheeted person?
SEP	Library Card Sign-Up Mo.
ITERS	Sinuses, e.g.
NONOTEVER	Emphatic refusal
ATSEA	Nonplussed
SETSAPART	Earmarks
