SABERS	Common cavalry emblem
SHEARS	Aviation hazards
AORTAL	Like some blood passages
BRAHMA	The Creator, to Hindus
ENS	"Star Trek" rank: Abbr.
REED	Pastoral pipe
STROM	Late Sen. Thurmond
WHIPSAWS	Swings violently
WCS	Places to go in England?
HAPPEN	Transpire
IDIOT	Dunderhead
PINT	Pub purchase
SLA	Org. in 70's news
ALLALONE	Unaccompanied
WALLACE	"60 Minutes" regular
SCYTHES	Sights in Sargent's "Reapers Resting in a Wheatfield"
HORNET	Stinger
CADILLAC	Detroit's founder
ERASER	Desk item
SPINALLY	How some analgesics are administered
ATH	Olympian, e.g.: Abbr.
DOC	Disney dwarf
COATI	South American animal
POT	Put a lid on it
ALT	Flight stat.
RAMS	Butts into
STRUDEL	Fruit-filled pastry
MOTET	Some church music
TWANGED	Sounded like a steel guitar
BLAH	Lacking pizazz
BRAGGED	Gasconaded
SLATS	Wood strips
SATED	Full-plus
AWN	Bristle
CROCE	"You Don't Mess Around With Jim" singer, 1972
CIDER	Jug filler, maybe
RASTA	Bob Marley fan
STD	Regular: Abbr.
DIANES	Sawyer and others
DEI	"Agnus ___"
CUTTINGEDGE	Like the technology of 1-, 7-, 63- and 64-Across, and 1-, 14-, 38- and 46-Down
CATALANI	Italian composer Alfredo
GREET	Receive
LOADED	In the bucks
LANCETS	High, narrow windows ending in arches
OCEANIC	Like some currents
GRIEG	"Holberg Suite" composer
ACTED	Took steps
CEE	Passing mark
CAREER	Life's work
REFER	Allude
FINITE	Limited
EVENER	Plane, e.g.
RAZORS	Popular Christmas gifts for dads
NEAL	"Hud" Oscar winner
HADES	Symbol of hotness
HELIO	Sun: Prefix
SWARM	Bunch
DIVA	Singer with attitude
CAL	___ Poly
EER	Convention's end?
EELS	Denizens of the Sargasso Sea
TWO	Tango requirement
OLIO	Miscellany
NEZ	Pince-___
ENAMELED	Like some cookware
MGS	Classic sports cars
DRS	Rx writers
ALBINO	White rabbit, e.g.
BOW	Violist's purchase
TINGLIER	Feeling more pins and needles
RIOTER	Police attacker
SCISSORS	Wrestling hold
MOWERS	Shed items
