ALSO	Besides
ALAS	"What a pity!"
LOUT	Boor
SIRE	Dam's counterpart
OTOE	Oklahoma Indian
ESTA	"Cómo ___ usted?"
ERA	Detergent brand
SEALS	What some pups grow up to be
TRUE	50/50 test choice
ASSN	Org.
ESSEN	City near Düsseldorf
EER	Poetic adverb
SNARE	Marching band drum
SULTANATES	Brunei and Oman, e.g.
ERIE	Toledo's lake
NESS	1987 role for Costner
LOITERERS	They hang around
ERROL	Actor Flynn
ENURE	Accustom: Var.
AURORAAUSTRALIS	Southern lights
TOAT	Perfectly
STEER	Take the conn
LENO	Noted monologuist
RTES	Hwys.
OAS	W. Hemisphere grp.
ASTA	Wirehair of film
AREA	Scope
RILL	Small brook
SILLS	Window bases
STUNT	Daring feat
INSULATION	Attic covering, maybe
LOST	Found's partner
TATI	"Mon Oncle" star Jacques
TOROS	Pamplona runners
ATOI	Yours: Fr.
NEE	It comes before a dropped name
ESTEE	Cosmetician Lauder
ETES	Hot seasons in Québec
ATNO	29 for copper, e.g.: Abbr.
ARTS	They might be fine
TOOT	Choo-choo's sound
ONTO	Aware of
LEAST	Lowest in importance
EERO	Architect Saarinen
RUSSIANROULETTE	Game you can lose only once
ISEE	"Gotcha"
ULNA	It parallels the radius
TNUTS	Fastening devices
TOIL	Labor
REES	Roger of "Cheers"
STL	Cardinal's insignia
ESOS	Those, to José
SALT	Brining need
NOOSE	Choker
ORALS	Tough tests
ASEA	Out of port
SENSE	Feel
OAR	Scull propeller
OATES	Hall's singing partner
ALTE	Der ___ (Konrad Adenauer)
ATRA	Razor brand
LRON	"Dianetics" author ___ Hubbard
LENA	Musical Horne
ERTE	One-named artist
NOEL	Winter air
ALLIN	Having no chips left to bet
LUIS	Pitcher Tiant
LEES	Directors Ang and Spike
INST	M.I.T. part: Abbr.
NETS	Captures
TRINITROTOLUENE	Explosive stuff
ITS	"___ a girl!"
ONE	Point value in Scrabble of every letter in this puzzle
ROOST	Sleeping perch
TEENSIEST	Most minuscule
ANNES	Queen ___ lace
ELSE	"What ___?"
SSTS	J.F.K. arrivals
