CACTI	Desert flora
CUB	New reporter
ABE	Penny portrait
COE	Runner Sebastian
TATS	Does a doily
ITSOPEN	Answer to a knock
MANDM	Coated candy
MAMET	"American Buffalo" playwright
ALPS	Yodelers' milieu
NOR	Hide-hair link
DNA	Modern evidence
MESSKIT	Camper's gear
GAP	Interstice
GENESHALLOT	Vegetarian film critic?
AMEND	Change the Constitution
PUTTO	Tie up a boat
UBOAT	Wolf pack member
ALONE	Without company
EMU	Outback runner
BEETSAMPRAS	Vegetarian tennis star?
ALAS	Sighed cry
NET	Surfing site
SOLES	They're underfoot
SPENT	All in
PET	Sulky state
BOO	Greet the opposing team
BASIL	Pesto base
ONICE	In reserve
OKRAWINFREY	Vegetarian talk show star?
PAT	Vanna's partner
MAKESDO	Gets along
METER	Poet's concern
ANEW	Fresh
ANKLES	Tibias' ends
LEN	Cariou of "Sweeney Todd"
ZENITH	Culminating point
ZONES	Shipping areas
SIREN	Femme fatale
MOTET	Choral work
MITES	Itty-bitty bugs
AMA	Doc bloc, for short
MAINE	L.L. Bean's home
ABASE	Lower
ICAN	Volunteer's words
SINEW	Bone connector
SAGE	Wise fellow
SLAB	Thick cut
SUN	Catch some rays
LEW	Kareem, once
HATER	Misanthrope
HAIRPIN	Kind of turn
JULIA	Roberts of "Mystic Pizza"
JAYLENO	"Leading With My Chin" author
IMAGES	Camera card contents
MNO	6 on a phone
CANONS	Mass parts
CAIN	First born?
FUNNIES	Sunday paper section
FIFER	Drummer's partner
UNITE	Bring together
MAY	Memorial Day setting
MAIDS	Hotel staffers
TEE	Course start
INFOR	Bound to experience
FAILS	Goes belly-up
FLED	Hightailed it
SKIN	It's got you covered
FIR	Rockies tree
PAULINEKALE	Vegetarian film critic?
ARE	Beatitudes verb
UKE	Island strings
AGE	Epoch
LEA	Salonga of "Miss Saigon"
ELL	Wing
ETE	Popular season on the Riviera
IRKED	Drove to distraction
NIGEL	Austin Powers's father
REY	Curious George creator H. A. ___
NEEDS	Demands
ONEAL	Sharpshooting Shaq
