FLIESATHALFMAST	Signifies respect and sadness
FLAT	Like some rates
LODE	Treasure-trove
ISLA	Margarita, e.g.
ETAS	Itinerary info
SOIE	French silk
ANET	Without ___ (daringly)
TESS	"Touched by an Angel" character
HST	Bygone presidential inits.
ABELE	White poplar
LAVIN	1987 Tony-winning actress for "Broadway Bound"
FLESH	Relatives
MANTO	Sending a ___ the moon (1960's goal)
ANSEL	Noted Adams
SCONE	Baked breakfast item
TENSE	In danger of snapping
LOSTONESBALANCE	Slipped
ADLAIESTEVENSON	He said "In America, anybody can be president; that's one of the risks you take"
TEASETS	Service groups
LISTENS	Minds
WENHOLEE	Engineer in 2000 headlines
WENTAPE	Flipped
POPULACE	Masses
PARC	Green stretch in Grenoble
OMER	Post-Passover period
PESO	Mexican mint product
URIS	Writer who created the writer Gideon Zadok
LIDS	Blinkers
ACER	Pete Sampras, notably
CANE	One with a supporting role
AMERICANSPANISH	Alternative to Castilian
SICA	Director Vittorio De ___
PATS	Dabs
ALIS	Some Muslim men
NAVE	Place to pray
IRIS	Glad family
SETA	Bristle
HAYS	Eponymous code creator
RESIDENTIALAREA	Place likely to have zoning restrictions
CROSSREACTIVITY	Factor in relationships between viruses
PASSESAS	Mimics satisfactorily
FANGLIKE	Long and sharply pointed
FIATS	Uno and others
AFLEA	"___ in Her Ear" (classic Georges Feydeau farce)
NOBEL	Coveted award
GRETE	Marathoner Waitz
LORES	Like inferior computer graphics
INTRA	Prefix with molecular
KEATS	"Lines on the Mermaid Tavern" poet
IFORONE	"Speaking personally ..."
ANILIDE	Compound in fungicides
ALTI	Some singers
NITS	Annual sports contests, for short
IGET	1988 Belinda Carlisle hit "___ Weak"
LARA	Pasternak heroine
ITIN	Pack ___
DONT	Terse warning
ERGS	Dyne-centimeters
ALBERTALLIGATOR	Pal of Pogo
LOS	Spanish article
TEETERTOTTERING	Playground activity
SALESASSISTANTS	Buying guides?
