HARASSED	Dogged
HORSEMEN	Biblical quartet
AVERSIVE	Antipathetical
RETITLED	Like some shows in syndication
ARR	Music sheet abbr.
SCOPES	Darrow defended him
SAFER	Comparatively careful
EMIT	Issue
DETENTE	Negotiation result
CUSS	Emulate a sailor
CALORIE	A soft drink may have one
UNLOAD	Confess in a big way
SNELL	1500-meter winner at the 1964 Olympics
SASE	Freelancer's enc.
OVERCAME	Beat
MANNA	Food in Exodus 16
MUTTONS	Butchers' offerings
RETROFIT	Put new parts on, in a way
TULLES	Fine nets
TOURIST	One in a trap?
SRI	Indian poet ___ Aurobindo
PETEROTOOLE	Seven-time Best Actor nominee
REELECT	Campaign poster word
ESTHER	Jean Racine tragedy
HEN	Mothering type
NEUTRAL	On the fence
MILES	League divisions
STEROID	Test subject, often
SETTLED	Like some scores
EVEN	Like 60
BEELINE	Go directly and quickly
BANKING	Passing notes
NED	"Waking ___ Devine" (1998 comedy)
CAT	One who litters
COOLANT	Nuclear reactor need
ESS	Slalom segment
ISR	Levantine land: Abbr.
INCISIVE	Sharp
STRESSOR	Job change or marriage, psychologically speaking
ROOSTERS	Certain alarms
CONTACT	It's touching
CONNOTE	Imply
AERATES	Makes bubbly
INTO	Grooving on
IAN	Ziering of "Beverly Hills 90210"
BOOKLET	Light reading?
BAILED	Dealt with a leak, maybe
MACRO	Photography lens
MOLTEN	Like the golden calf
MANLIER	Like Popeye vis-à-vis Wimpy
MAORI	Polynesian language
PONIES	Express team?
PERDU	Concealed
CAINANDABEL	Arrivals after the fall
COBB	He had 892 steals
BONA	___ Dea (Roman fertility goddess)
SST	It has an adjustable nose
OOLONG	Twinings product
TORTOISE	Winner in a well-known upset
OAT	Kind of grass
BRETT	Three-time A.L. batting champ
ENDEAVOR	Do one's darnedest
BIDE	Remain
SAUNTERS	Promenades
