ENLIST	Obtain, as support
EQUINOX	Occasion at Stonehenge
NUMBEST	Least feeling
LIMB	Life's partner
IFA	"___ Girl Like You Loved a Boy Like Me"
SERVE	Be of use
TRYONS	Fitting room activities
SALVES	Burn applications
STUDIOUS	Bookish
ARDOR	Hot blood
LOGO	Apple's apple, e.g.
VIM	Animation
ELEVATE	Better
SUNSUIT	Dress for summer
AQUIFER	Water bed
ASPIRE	Hope
TROILUS	Brother of Cassandra
STOLES	Some scarves
SUMMARYJUDGMENT	Order in the court
JOHNQPUBLIC	Person in a street interview
PIBB	Mr. ___ (soft drink brand)
VOODOO	Kind of economics
VSO	Brandy designation
INE	Like Bruckner's Symphony No. 7
MENHIR	Upright monumental stone
MIRROR	Something to reflect on
PAUL	One who studied "at the feet of Gamaliel"
PUTPUT	Engine sound: Var.
ROSSI	"Orfeo" composer Luigi
SETSAT	Attacks
SNO	___-Cat
CUTIE	Living doll
CRIMES	Villainies
EXTERN	Certain medical student
NAY	Thumbs down
QUARTETS	Pieces of eight?
AHA	"Gotcha!"
TRAMPSHIP	Cargo liner for hire
MONETARY	Like some funds
ITSSOYOU	Compliment at a dress shop
INLETS	Arms on big bodies?
TOOLATE	Not in time
SPOOKED	Scared off
AMUSED	Having a laugh
SHEATHE	Cover a point?
ENACTED	Put on stage
DOTEON	Act grandfatherly to
NOPAR	Like some stock
NBW	Helmsman's heading
WINKED	Signaled slyly
ETHNO	Prefix with centric
LOOT	Spoils
BELIES	Confutes
BABEL	Tower site
ESSAI	Writing by Montaigne
EAT	Dig in
ELO	"Livin' Thing" rock grp.
SATINS	Obi fabrics
SARI	It's a wrap
PACE	Tempo
PATH	Direction
TAKEABACKSEATTO	Merely support
EEG	Brain test, for short
ERS	TV drama settings
STEERER	Helmsman
EARTHEN	Like some jugs
EDGILY	In an irritable way
DISHED	Concave
