PADS	Stationer's stock
PEALS	Loud bursts
ALSOP	"Matter of Fact" columnist
DESPERADOS	Bonnie and Clyde, e.g.
SETSAIL	Cast off
CALM	Not choppy
CARDSELECTION	Pick from a deck
AMIE	Billet-doux writer
LANDSAT	Remote-sensing orbiter
MSG	Fight site: Abbr.
ICKES	F.D.R.'s Interior secretary
ICEBERGS	They may come off a shelf
CLAIROL	Procter & Gamble brand
KIDD	Hanged pirate
EPEE	Modern pentathlete's need
SSRS	Former union mems.
ELEE	Robert ___ Prewitt ("From Here to Eternity" soldier)
AMAS	Latin trio part
CLIPS	Banned blocks
ASST	Like some D.A.'s
RINGLEADER	Spark plug, so to speak
LABEXPERIMENT	Action that may produce a reaction
LOPSIDED	Not straight
IRS	Return addressee?
ABIDES	Brooks
SPEARS	Game stickers?
SOBER	Unlit?
ONEIL	Baseball great Buck
RISE	Show respect, in a way
ANEROIDS	Some barometers
IONOSPHERE	Radio wave reflector
DVII	Early sixth-century year
SEAN	Bean of "The Lord of the Rings"
ARAL	___ Sea (Amu Darya's outlet)
ASAP	"Stat"
RATA	Pro ___
LATEXGLOVE	Surgeon's wear
ASPEN	Cottonwood's cousin
SAD	Down
WES	Guitarist Montgomery
WISHLIST	Things you want
IPS	VCR speed measure: Abbr.
NIA	Actress Vardalos of "My Big Fat Greek Wedding"
ATOMICPILE	Chain reaction facilitator
MYCENAE	Legendary capital of King Agamemnon
IMAGOES	Mature insects
LOIN	Chop order
LEASHED	On-line?
PASYSTEM	Way to get one's message across
RUES	Wishes undone
UNE	Balzac's "___ Double Famille"
CHINA	Best dishes, perhaps
INAPET	Peeved
EOSIN	Biological stain
TWANG	String sound
TUPELO	___ National Battlefield in Mississippi
TWAS	"Jabberwocky" starter
UHUH	"No way"
PERE	Member of la famille
GAMESHOW	Where someone may get a buzz
AMEN	Mass exodus preceder?
WHENINROME	Elliptical comment on local customs
RPI	N.Y. engineering sch.
HESA	"___ Heartache" (#1 country hit for Janie Fricke)
AURAS	Special qualities
PEEN	Rounded end
ERIN	One of the Waltons
SHEET	Sleep on it
ISNT	"It ___ so"
DENG	Successor of Mao
