ZIGS	Makes an unexpected move
ZIPCODE	12345, e.g.
INOROUT	Pet's choice
GALAHAD	Knight in shining armor
SNIVEL	Whine
CREW	Captain's hires
CHIT	Marker
REC	Boom box button
ERA	Chapter in history
WOLFS	Devours, with "down"
ABODE	Where you live
ASEA	Out of port
BALINESE	Some Indonesian islanders
OXIDANT	Rust-causing agent
DOESTOO	Half a playground argument
ENFOLDS	Wraps around
INAN	___ instant
HERO	Dragon slayer
SAXON	WASP part
POLITICALBELIEF	See circles
TAD	Wee bit
BRET	Cy Young winner Saberhagen
CRAVAT	It hangs by the neck
FRAIDSO	"Yep, that's the way it is"
OOHED	Voiced admiration
BASE	Bottom
BALSA	Model material
ATLANTA	Home of Home Depot
NATL	Part of NASA: Abbr.
DUAL	Two-part
SAT	Did laps?
SEW	Tend to hems
THENOD	What a leader may give
HELL	"A place where you have nothing to do but amuse yourself": Shaw
ETD	Something that may be delayed by a storm: Abbr.
FELLA	Happy guy in a musical
FESS	Own (up)
ANNOY	Needle
ESTOS	These: Sp.
NEWSANGLE	See circles
NEUROSIS	Hang-up
GUT	Destroy the interior of
GASES	Atmospheric mix
GOTOPOT	Deteriorate
ABILENE	Eisenhower Center site
STEERER	One at the helm
ANNUL	Cancel
PAW	Boxer's mitt
PORTION	Helping
APRIORI	Kind of reasoning
WHATNOT	Stand for bric-a-brac
OBTUSE	Slow on the uptake
EARN	Take home
TOT	Trike rider
SOPH	10th, in a way: Abbr.
SEENTO	Taken care of
TIER	Bleacher feature
AWAY	Not home
WYATT	One of the Earp brothers
TERRA	Homeland to Hadrian
TGI	___ Friday's
OLEOPRY	Grand finale?
POLE	Make a gondola go
IGETIT	"Oh, right"
IPOD	Song holder
PERSONALOPINION	See circles
LOO	Bathroom, in Bath
ODD	Anomalous
ONEIL	"The Emmys" author Thomas
TODO	Brouhaha
TORO	Mower maker
TERSE	Short and maybe not sweet
TODD	Mary who married a future president
ONIT	"I'm working ___!"
