SAMSON	Biblical strongman
SIPS	Nurses, at the bar
ACOP	Rent-___ (private security guard)
MEWL	Whimper like a baby
SADE	One-named Nigerian songstress
OXEN	Paul Bunyan's Babe and others
NERD	Dorky sort
SAY	Two cents' worth
SPORK	Hybrid utensil
AGO	Way back when
YAM	Sweet potato
MADD	Anti-D.U.I. org.
MOJAVE	Desert with Joshua trees
ALIBI	Suspect's story
DAMON	Friend of Pythias
DYING	Flopping at a comedy club
ICEAXE	Climber's chopper
PGA	Sports org. with a tour
OLAY	Skin care brand
POWDERROOM	Place to freshen up
ROSE	Ascended
JIMI	Rock legend Hendrix
SPLENDOR	Display of grandeur
GABON	French-speaking African nation
GINSENG	Root used in some energy drinks
SKYDIVING	Sport involving a chute
YOHO	Start of a pirate's chant
DRYRUN	Practice go-round
NATALIE	"Unforgettable" duettist Cole
NABS	Catches, as a perp
ANAT	Med school subj.
TABU	Forbidden-sounding perfume
ALY	Prince ___ Khan
LOOSEST	Least strict
IGNORE	Pay no heed to
ORNE	Caen's river
ANALOG	Like clocks with hands
WHYS	Tot's repeated questions
WMD	Subj. of a U.N. inspection, maybe
SSN	ID with two hyphens
SITU	In ___ (as placed)
SMEE	"Peter Pan" pirate
NESS	Loch ___ monster
BABYONEMORETIME	Britney Spears's debut hit
ELIA	Director Kazan
TIL	Up to, in ads
STU	Early Beatle Sutcliffe
SOLD	Fully convinced
UNITES	Joins
TERI	Hatcher with a Golden Globe
TYRANT	Iron-fisted boss
UNGLUES	Disassembles, as a model airplane
USED	___ car dealer
NAVYSEALS	Elite military group
NAMED	Identified
ALEVE	Tylenol alternative
VEGAN	Lacking meat, eggs, dairy, etc.
LANKY	Like Abe Lincoln, physiologically
ALERT	On one's toes
AERATION	Treatment with carbon dioxide
ROTS	Goes bad
AFRO	Early Jesse Jackson hairdo
TBAR	Way up the slope
ILIE	Netman Nastase
OUTS	Contract loopholes, e.g.
NEST	Digs of twigs
MEGA	Prefix with star or bucks
KINDOFBLUE	Classic Miles Davis album ... or a hint to the start of 17-, 22-, 37- or 45-Across
KIA	Spectra automaker
INN	B&B, e.g.
EVAN	"___ Almighty" (Steve Carell movie)
INK	Tattooist's supply
TRAITS	Characteristics
DENT	Bumper blemish
ANY	"Pick a card, ___ card"
SOREST	Most achy
